,PredictedValueExtensiveModel
491,223133.0
492,-131983.61
495,-28419.217
496,214588.06
498,614782.44
500,477799.38
501,1164018.2
502,-1060006.8
504,285402.75
508,1629686.4
509,1616580.1
513,634696.75
515,422927.2
516,1165506.9
517,660611.06
518,545862.94
520,626703.06
521,-719859.44
523,717765.8
524,1811108.2
525,-399699.0
526,914091.2
527,857702.06
528,1685629.9
529,474979.8
534,981690.75
535,526557.25
537,403046.3
538,1132971.1
539,-58979.656
540,407992.75
541,-312082.0
542,1332705.5
543,583542.75
544,674764.5
545,415826.28
547,366992.16
548,114886.46
550,677776.5
554,950228.44
555,2676412.8
556,1925871.8
557,-1635313.6
563,-847120.5
566,-410912.8
568,-560514.0
589,273705.8
593,-994548.1
594,-1858495.4
595,1755486.8
598,300528.66
599,601194.1
600,-686970.44
601,-130298.54
603,312681.53
605,819127.2
606,1479455.4
607,-11641.227
615,647942.94
616,-1011965.6
617,437871.75
619,346715.56
620,1093675.4
623,1041797.1
624,759267.1
626,890706.0
631,91630.35
632,182038.5
633,521127.7
649,427914.84
652,60132.734
656,760919.06
658,-8180.4336
660,-1448334.1
666,-731656.2
674,582806.2
678,196694.33
689,-1730798.0
707,-1542527.5
716,1154976.2
717,-863351.0
719,680750.5
721,269375.06
722,649347.6
727,608362.44
729,-570496.94
730,812159.94
732,224978.16
733,76097.07
734,170413.31
735,25919.18
736,277424.9
740,678985.5
741,788773.75
743,-1443258.0
745,642006.25
746,638529.56
747,1216685.1
749,99302.96
751,-32563.912
753,-460473.84
754,-13115.609
755,1516106.5
756,-532589.7
757,114012.305
760,-1097110.5
761,1281242.9
767,-1254209.2
769,-1304485.0
770,194792.27
771,-1221943.5
780,15526.928
783,-312195.38
785,-722880.4
786,425862.3
804,430558.44
820,153192.17
821,-768304.5
826,-25550.736
830,-579432.6
831,-167502.6
833,-199742.84
834,967382.75
836,360363.4
840,516373.56
841,-173327.31
844,107107.99
845,737625.6
848,142945.31
849,54074.89
851,298273.25
852,-980590.94
853,569776.44
854,-903446.4
855,589786.94
856,1116602.9
859,-848419.56
860,-363159.2
862,13687.006
863,1283691.4
864,2307648.5
873,-718116.25
876,1177568.1
877,1329610.0
878,685510.56
882,-935852.4
883,694565.5
884,486419.25
885,-2048204.5
886,1033687.1
889,905679.1
900,85274.43
912,-24534.662
923,142246.1
926,-292683.25
927,357833.88
929,145181.28
930,-496227.4
935,-152839.53
940,-89460.13
950,122471.51
957,222774.38
962,-83834.57
968,192797.75
970,113622.49
975,813021.2
982,464491.75
987,1292886.9
991,948862.5
992,287360.22
1002,58272420.0
1003,65547956.0
1004,35120188.0
1005,67685100.0
1006,12285832.0
1007,63343410.0
1008,50867104.0
1009,24127814.0
1010,18246654.0
1012,77347430.0
1013,60680612.0
1014,22809696.0
1015,85297220.0
1016,10043827.0
1017,8678843.0
1018,59014050.0
1019,37457468.0
1020,73239590.0
1021,60361984.0
1022,17774054.0
1023,18230322.0
1024,11552314.0
1029,32270098.0
1030,28148020.0
1031,7276879.0
1032,9025701.0
1033,744696.44
1034,19685106.0
1035,10020283.0
1037,16141269.0
1038,13559315.0
1039,11547800.0
1041,8435384.0
1042,12645079.0
1043,20750484.0
1044,220138.22
1045,87064790.0
1046,11550238.0
1047,38154252.0
1048,19634568.0
1049,14159131.0
1050,39846.445
1051,28014366.0
1052,14919671.0
1053,22723490.0
1055,19011210.0
1056,30476700.0
1057,14124130.0
1064,55947596.0
1065,32116354.0
1066,18771000.0
1067,22360724.0
1068,20993696.0
1069,11080882.0
1071,16857318.0
1072,15307813.0
1073,20385738.0
1074,22430530.0
1075,19392724.0
1076,13044674.0
1077,25768728.0
1078,43900700.0
1079,14618139.0
1081,53168610.0
1082,25779442.0
1083,22886502.0
1084,16666733.0
1089,23048560.0
1090,24984096.0
1091,23749814.0
1092,15272468.0
1093,13537091.0
1094,8918049.0
1095,28733512.0
1096,9617370.0
1097,14791726.0
1101,23520306.0
1102,11668097.0
1103,11728055.0
1104,58477668.0
1105,20014504.0
1106,47310620.0
1107,18850696.0
1108,8657898.0
1109,22846354.0
1110,13679564.0
1111,11236907.0
1116,17256548.0
1117,14448023.0
1118,6814982.5
1119,6145674.0
1120,-601050.7
1121,12249312.0
1122,6780167.0
1124,6556746.5
1125,4700093.5
1126,8467532.0
