,PredictedValueSimpleModel
3479,3451302.5
3480,272346.88
3500,2543850.8
3501,1257699.5
3502,630274.7
3527,9471672.0
3528,156806.72
3529,235628.8
3550,9003810.0
3551,2036335.9
3552,797580.6
3573,9641660.0
3574,4053880.0
3575,204021.55
3576,334885.5
3603,19654222.0
3604,1006663.56
3605,647938.75
3630,4115757.5
3631,2286533.2
3632,1069732.0
3633,845446.44
3658,7051894.5
3659,193022.98
3660,883783.44
3684,4085643.0
3685,727357.56
3686,-6552.522
3687,99017.84
3709,3954891.2
3710,1410293.2
3711,146345.06
3712,603224.44
3735,1514308.2
3736,697780.1
3737,232800.23
3761,767470.25
3762,995358.44
3763,217649.19
3788,3671136.5
3789,401368.4
3790,612744.0
3814,1668096.0
3815,2837919.5
3816,952411.7
3817,154961.95
3844,3392629.2
3845,1637906.8
3846,475591.47
3847,165510.12
3877,1720365.0
3878,652130.06
3879,225402.08
3902,211549.31
3903,719725.06
3904,148065.19
3932,2703422.8
3933,2669155.0
3934,421347.44
3935,502746.94
3959,1211693.0
3960,464242.25
3986,303110.62
3987,498338.47
3988,201102.97
4013,1698023.6
4014,212869.66
4015,21179.559
4038,222606.17
4039,413840.1
4040,269176.34
4059,520140.5
4060,640588.7
4086,113959.086
4087,422074.44
4088,377664.97
4110,388134.12
4111,575316.4
4112,19943.223
4138,655122.56
4139,805196.8
4140,111575.03
4167,570385.8
4168,276563.9
4169,4535.3887
4170,68928.375
4193,1609915.6
4194,626030.8
4195,21179.559
4221,303110.62
4222,151239.08
4223,397374.5
4247,335284.28
4248,426738.75
4249,156618.47
4272,971694.06
4273,166687.4
4274,68928.375
4299,767337.0
4300,212435.78
4301,272679.5
4326,279589.1
4327,302440.44
4328,91619.69
4353,251481.08
4354,309508.84
4355,105914.61
4380,288462.56
4381,393264.66
4382,427734.84
4405,433422.78
4406,28625.48
4407,21179.559
4428,443379.44
4429,220267.81
4430,149721.7
4456,16549014.0
4457,5790678.5
4458,485685.62
4459,270489.66
4483,34229612.0
4484,812149.4
4485,624294.4
4486,408978.3
4513,18466930.0
4514,1262729.2
4515,-15466.407
4540,12051438.0
4541,3678131.2
4542,469420.47
4568,12531360.0
4569,756436.1
4570,534641.06
4593,4815284.0
4594,871969.5
4595,254946.88
4621,10884815.0
4622,6231828.0
4623,860071.7
4647,782893.2
4648,646825.6
4649,1026009.7
4673,1580264.5
4674,586793.2
4675,9956.872
4699,4090970.2
4700,1047356.5
4701,584042.56
4702,212550.05
4727,4195193.5
4728,596283.44
4729,212550.05
4754,3983945.5
4755,1257434.2
4756,274291.44
4757,1016581.25
4784,3097900.0
4785,5961609.0
4786,889652.6
4787,204425.2
4814,15518704.0
4815,1681781.9
4816,420299.25
4817,453823.53
4844,1254222.8
4845,1268920.1
4846,420047.9
4871,5822052.5
4872,890329.3
4873,478644.38
4874,212550.05
4902,4104112.5
4903,754707.4
4904,1180782.1
4905,148829.72
4931,3511236.2
4932,2136872.2
4933,114762.5
4960,4344708.5
4961,601565.2
4962,108791.28
4989,12516285.0
4990,1627753.9
4991,262104.77
4992,955769.9
5015,2092332.1
5016,969666.6
5017,50963.684
5018,242147.94
5046,1087474.0
5047,183480.4
5048,309951.53
5049,356208.38
5050,589317.8
5076,2850042.5
5077,345049.0
5078,103931.055
5105,1252018.1
5106,77205.29
5107,423535.78
5108,52397.06
5132,382272.38
5133,161940.33
5134,152509.23
5135,47115.812
5160,445430.06
5161,175183.45
5162,187132.83
5186,2322487.5
5187,142768.67
5188,104003.98
5214,807870.2
5215,407994.1
5216,84102.055
5242,2532320.0
5243,376661.5
5244,231492.3
5245,238422.66
5274,744646.1
5275,335551.2
5276,85641.54
5303,246922.31
5304,426343.6
5305,212644.2
5330,408632.4
5331,310996.2
5332,84102.055
5361,817909.9
5362,-26922.244
5363,118366.59
5392,400595.94
5393,530415.44
5394,147254.03
5419,382343.47
5420,298564.94
5421,84102.055
5448,394813.4
5449,249546.1
5450,165299.94
5476,987488.1
5477,214851.98
5478,84102.055
5479,110735.44
5508,930379.7
5509,450478.16
5510,77205.29
5536,467831.06
5537,311285.9
5538,246922.31
5562,524827.8
5563,298564.94
5564,118225.98
5592,59306984.0
5593,6083220.0
5594,194390.5
5617,40015100.0
5618,3589407.0
5619,1935380.8
5639,39619590.0
5640,3550840.8
5661,22280198.0
5662,1215474.8
5687,1554487.5
5688,765609.56
5710,14638537.0
5711,1303115.8
5712,1128376.6
5736,25149712.0
5737,4506433.5
5738,1139449.8
5761,20097174.0
5762,2413079.5
5763,64558.574
5764,569712.75
5787,10373858.0
5788,4508287.5
5811,2813701.8
5812,2060611.9
5834,7059140.5
5835,494400.16
5836,676001.7
5859,6040144.0
5860,1990941.4
5881,2837106.8
5882,1142820.9
5883,889242.75
5906,3104958.0
5907,2994730.8
5908,1439652.4
5933,4720951.0
5934,934572.56
5935,804718.7
5958,9821793.0
5959,1618856.5
5960,818260.06
5982,2887815.5
5983,918717.75
5984,548370.94
6008,1285718.4
6009,1342129.2
6032,10628748.0
6033,2823423.8
6061,5008802.5
6062,1080438.8
6087,652871.4
6088,229662.89
6089,375945.72
6115,497295.1
6116,497295.1
6138,1444514.6
6139,566947.25
6162,342115.25
6163,471790.16
6189,445621.25
6190,325448.62
6191,152444.55
6212,595968.9
6213,231063.08
6239,495129.56
6240,315881.03
6267,582743.2
6268,1112454.4
6293,1125375.0
