,PredictedValueSimpleModel
15284,3932.0999
15285,165612.62
15286,37070.46
15317,118268.37
15318,295439.28
15321,37070.46
15352,-186146.6
15353,129552.07
15379,619365.2
15407,216966.08
15408,240478.81
15409,63180.836
15433,541950.2
15434,465532.06
15435,281622.8
15436,30173.701
15463,114908.73
15464,344853.8
15465,-3466.057
15466,37070.46
15491,3976794.2
15492,283353.38
15493,-33643.39
15519,1379628.9
15520,533886.3
15521,185875.22
15545,1294048.2
15546,494108.34
15547,-33048.246
15572,557428.56
15573,611478.6
15574,664810.1
15599,1321968.2
15600,368737.78
15601,748647.8
15625,373202.53
15626,303230.78
15648,549208.3
15649,331739.9
15650,374945.94
15671,497389.72
15672,229618.36
15673,65071.145
15696,374316.72
15697,312557.47
15698,293635.53
15722,974963.0
15723,179669.2
15724,4346.668
15746,924990.75
15747,427285.8
15748,360962.47
15769,466801.5
15770,229980.17
15771,389589.16
15772,4346.668
15799,13292551.0
15800,478877.75
15801,88553.21
15822,986240.4
15823,701331.2
15824,387845.75
15825,180239.03
15852,1795039.5
15853,-18184.145
15854,215873.0
15855,316232.44
15888,470901.16
15889,166758.19
15890,91595.31
15891,90576.24
15915,335327.47
15916,137178.98
15937,757506.25
15938,439089.2
15939,87061.84
15940,110786.8
15967,378641.44
15968,102390.63
15969,172509.39
15997,196819.16
15998,389589.16
15999,107510.57
16026,469374.4
16055,396079.28
16056,360962.47
16057,374749.56
16082,1273764.9
16083,452686.1
16110,646171.6
16111,532165.2
16112,90582.09
16138,66330.15
16139,52619.46
16167,543413.44
16168,261186.89
16169,165612.62
16195,603198.5
16196,187661.94
16197,70665.74
16224,353564.3
16225,602899.06
16226,16903.86
16254,390891.94
16255,309806.28
16256,37070.46
16279,443321.22
16280,162725.08
16281,1075.7153
16311,633202.5
16312,438167.88
16339,114908.73
16340,297120.66
16365,185161.58
16366,27354.307
16394,403903.97
16395,-5380.169
16396,159365.44
16419,994176.9
16420,13408.827
16447,445412.94
16448,176826.67
16449,-33048.246
16475,121805.49
16476,313272.4
16477,400566.72
16504,81527.1
16505,281835.72
16537,946213.1
16538,1674254.8
16539,572360.1
16565,1063134.0
16566,661360.5
16567,392273.88
16595,3847643.0
16596,406221.8
16597,115149.81
16621,326958.1
16622,-80130.586
16623,80430.17
16649,585938.7
16650,214713.95
16651,296494.8
16674,235033.47
16675,479292.78
16676,209644.97
16677,155511.52
16705,152576.73
16706,439552.88
16707,40087.64
16733,198579.97
16734,264602.12
16735,482929.75
16760,314011.3
16761,225035.72
16787,475019.84
16788,204246.27
16789,138572.33
16790,208846.77
16815,481435.6
16816,151755.45
16817,372757.62
16818,326122.5
16844,382256.38
16845,53654.047
16846,4458.634
16872,375820.34
16873,136303.72
16874,278961.03
16896,418942.78
16897,138572.33
16898,12483.824
16921,585904.25
16922,197069.4
16950,337820.75
16951,245055.11
16952,297589.78
16977,1067738.8
16978,411652.2
17004,1597091.8
17005,223881.03
17006,292561.53
17007,71194.4
17036,450213.25
17037,460332.4
17066,1889029.2
17067,352935.12
17098,1244628.1
17099,452304.03
17135,675989.44
17136,531643.9
17137,37070.46
17138,30173.701
17166,513680.94
17167,975852.6
17168,64297.633
17205,515202.4
17206,291834.12
17207,325550.3
17238,1237719.8
17239,66330.15
17240,112413.32
17241,22775.545
17270,504328.56
17271,347857.62
17272,122153.914
17273,64297.633
17301,429530.47
17302,326079.5
17303,37070.46
17329,281333.78
17330,431707.12
17331,48388.77
17360,446649.34
17361,678613.25
17362,304666.56
17363,37070.46
17390,270255.1
17391,51686.79
17392,322563.72
17422,483510.56
17423,220669.36
17424,37070.46
17452,394906.3
17453,465025.0
17454,249545.61
17481,1444864.1
17482,275538.97
17483,125735.5
17510,267680.12
17511,351951.7
17538,1376536.2
17539,127193.22
17540,243713.02
17563,564609.0
17564,416266.62
17565,164196.72
17593,1581239.4
17594,200123.33
17617,441481.44
17618,734423.25
17645,730761.25
17646,356033.28
17647,26940.338
17671,385119.6
17672,141800.0
17695,454690.66
17696,441969.7
17697,19332.346
17719,254866.38
17720,381757.6
17721,129999.18
17746,793276.25
17747,249543.98
17748,7611.3315
17749,19332.346
17776,317960.66
17777,251309.14
17805,338082.94
17806,360129.97
17807,19332.346
17830,309115.22
17831,369842.2
17858,118710.72
17859,-23293.723
17860,-32319.2
17896,321533.12
17919,1377709.2
17920,520014.03
17921,22301.219
17922,-97934.48
17950,1033589.9
17951,280231.75
17952,108526.664
17979,228058.42
17980,384938.2
18004,1175495.1
18005,361517.28
18026,963945.9
18027,197774.9
18028,266626.7
18029,-50882.227
18054,781601.7
18055,545906.6
18078,589097.06
18079,477131.06
18098,428300.6
18099,262522.34
18100,208286.75
18126,1234028.5
18127,42898.113
18148,412767.62
18149,228919.73
18174,331891.84
18175,89020.58
18176,41661.773
18200,279860.0
18201,36001.348
18202,64744.727
18230,257539.58
18231,413849.2
18232,695501.5
18233,-27220.594
18257,1604701.9
18258,178362.55
18282,305999.84
18283,73910.69
18284,64744.727
18285,88962.016
18310,275847.84
18311,71632.67
18312,82205.95
18313,-27220.594
