,LeagueCountry,NationalLeagueLevel,InternationalTeam,League,Club,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Value
1986,Deutschland,2.Liga,,2. Bundesliga,Hansa Rostock,32.0,1416.0,0,0,0.0,1,500000.0
1987,Deutschland,2.Liga,Deutschland U21,2. Bundesliga,Hansa Rostock,26.0,320.0,0,1,2.0,0,300000.0
1988,Deutschland,2.Liga,,2. Bundesliga,Hansa Rostock,20.0,320.0,0,0,0.0,1,100000.0
2016,Deutschland,2.Liga,,2. Bundesliga,1.FC K'lautern,36.0,320.0,0,0,0.0,0,500000.0
2017,Deutschland,2.Liga,Deutschland U19,2. Bundesliga,1.FC K'lautern,23.0,320.0,0,1,1.0,0,200000.0
2018,Deutschland,2.Liga,Bosnien U19,2. Bundesliga,1.FC K'lautern,26.0,1412.0,0,1,1.0,0,200000.0
2019,Deutschland,2.Liga,,2. Bundesliga,1.FC K'lautern,22.0,1028.0,0,0,0.0,1,50000.0
2045,Deutschland,3.Liga,Deutschland U20,3. Liga,B. Dortmund II,19.0,320.0,1,0,0.0,1,125000.0
2046,Deutschland,3.Liga,,3. Liga,B. Dortmund II,23.0,320.0,0,0,0.0,0,25000.0
2074,Deutschland,3.Liga,Deutschland U17,3. Liga,SC Freiburg II,20.0,685.0,0,1,1.0,1,200000.0
2075,Deutschland,3.Liga,,3. Liga,SC Freiburg II,19.0,320.0,0,0,0.0,1,50000.0
2104,Deutschland,3.Liga,,3. Liga,Dynamo Dresden,27.0,106.0,0,0,0.0,0,350000.0
2105,Deutschland,3.Liga,,3. Liga,Dynamo Dresden,24.0,320.0,0,0,0.0,1,250000.0
2106,Deutschland,3.Liga,Deutschland U15,3. Liga,Dynamo Dresden,27.0,320.0,0,1,1.0,0,175000.0
2135,Deutschland,3.Liga,,3. Liga,1860 München,26.0,2146.0,0,0,0.0,1,325000.0
2136,Deutschland,3.Liga,Deutschland U18,3. Liga,1860 München,24.0,1416.0,0,1,0.0,1,125000.0
2137,Deutschland,3.Liga,Finnland U20,3. Liga,1860 München,21.0,320.0,0,1,1.0,1,75000.0
2162,Deutschland,3.Liga,Deutschland U20,3. Liga,FC Ingolstadt,27.0,320.0,0,1,0.0,1,300000.0
2163,Deutschland,3.Liga,,3. Liga,FC Ingolstadt,22.0,320.0,0,0,0.0,1,100000.0
2190,Deutschland,3.Liga,,3. Liga,Wehen Wiesbaden,29.0,684.0,0,0,0.0,1,250000.0
2191,Deutschland,3.Liga,,3. Liga,Wehen Wiesbaden,22.0,1416.0,0,0,0.0,1,175000.0
2192,Deutschland,3.Liga,,3. Liga,Wehen Wiesbaden,34.0,163.0,0,0,0.0,0,150000.0
2193,Deutschland,3.Liga,,3. Liga,Wehen Wiesbaden,21.0,685.0,0,0,0.0,1,25000.0
2217,Deutschland,3.Liga,,3. Liga,SV Elversberg,23.0,685.0,0,0,0.0,1,300000.0
2218,Deutschland,3.Liga,,3. Liga,SV Elversberg,34.0,2146.0,0,0,0.0,0,100000.0
2244,Deutschland,3.Liga,,3. Liga,Viktoria Köln,22.0,320.0,0,0,0.0,1,250000.0
2245,Deutschland,3.Liga,,3. Liga,Viktoria Köln,21.0,320.0,0,0,0.0,0,200000.0
2246,Deutschland,3.Liga,,3. Liga,Viktoria Köln,33.0,471.0,0,0,0.0,0,75000.0
2274,Deutschland,3.Liga,,3. Liga,Waldh. Mannheim,26.0,320.0,0,0,0.0,0,250000.0
2275,Deutschland,3.Liga,,3. Liga,Waldh. Mannheim,24.0,1036.0,0,0,0.0,0,200000.0
2276,Deutschland,3.Liga,,3. Liga,Waldh. Mannheim,22.0,663.0,0,0,0.0,1,25000.0
2301,Deutschland,3.Liga,,3. Liga,VfL Osnabrück,30.0,1781.0,0,0,0.0,0,300000.0
2302,Deutschland,3.Liga,,3. Liga,VfL Osnabrück,20.0,320.0,0,0,0.0,1,150000.0
2303,Deutschland,3.Liga,,3. Liga,VfL Osnabrück,23.0,1416.0,0,0,0.0,0,50000.0
2329,Deutschland,3.Liga,,3. Liga,Saarbrücken,32.0,2146.0,0,0,0.0,1,300000.0
2330,Deutschland,3.Liga,,3. Liga,Saarbrücken,30.0,320.0,0,0,0.0,1,125000.0
2331,Deutschland,3.Liga,,3. Liga,Saarbrücken,23.0,320.0,0,0,0.0,1,25000.0
2357,Deutschland,3.Liga,,3. Liga,MSV Duisburg,22.0,320.0,0,0,0.0,1,500000.0
2358,Deutschland,3.Liga,,3. Liga,MSV Duisburg,29.0,302.0,0,0,0.0,0,150000.0
2359,Deutschland,3.Liga,,3. Liga,MSV Duisburg,19.0,469.0,0,0,0.0,1,100000.0
2385,Deutschland,3.Liga,,3. Liga,Erzgebirge Aue,35.0,5433.0,0,0,0.0,0,250000.0
2386,Deutschland,3.Liga,,3. Liga,Erzgebirge Aue,29.0,1008.0,0,0,0.0,0,200000.0
2387,Deutschland,3.Liga,,3. Liga,Erzgebirge Aue,23.0,320.0,0,0,0.0,0,75000.0
2410,Deutschland,3.Liga,,3. Liga,Hallescher FC,21.0,320.0,0,0,0.0,1,400000.0
2411,Deutschland,3.Liga,,3. Liga,Hallescher FC,27.0,600.0,0,0,4.0,0,175000.0
2412,Deutschland,3.Liga,,3. Liga,Hallescher FC,19.0,320.0,0,0,0.0,1,25000.0
2439,Deutschland,3.Liga,,3. Liga,RW Essen,24.0,1416.0,0,0,0.0,1,200000.0
2440,Deutschland,3.Liga,,3. Liga,RW Essen,20.0,320.0,0,0,0.0,1,100000.0
2441,Deutschland,3.Liga,,3. Liga,RW Essen,34.0,685.0,0,0,0.0,0,50000.0
2466,Deutschland,3.Liga,,3. Liga,SC Verl,24.0,320.0,0,0,2.0,1,275000.0
2467,Deutschland,3.Liga,,3. Liga,SC Verl,26.0,313.0,0,0,0.0,0,75000.0
2495,Deutschland,3.Liga,,3. Liga,FSV Zwickau,29.0,2511.0,0,0,0.0,0,250000.0
2496,Deutschland,3.Liga,,3. Liga,FSV Zwickau,30.0,250.0,0,0,0.0,0,200000.0
2497,Deutschland,3.Liga,,3. Liga,FSV Zwickau,22.0,2146.0,0,0,0.0,1,100000.0
2498,Deutschland,3.Liga,,3. Liga,FSV Zwickau,23.0,320.0,0,0,0.0,0,50000.0
2524,Deutschland,3.Liga,,3. Liga,SV Meppen,22.0,320.0,0,0,0.0,1,150000.0
2525,Deutschland,3.Liga,,3. Liga,SV Meppen,23.0,1781.0,0,0,0.0,0,100000.0
2526,Deutschland,3.Liga,,3. Liga,SV Meppen,37.0,2146.0,0,0,0.0,0,75000.0
2558,Deutschland,3.Liga,,3. Liga,SpVgg Bayreuth,27.0,1781.0,0,0,0.0,1,125000.0
2559,Deutschland,3.Liga,,3. Liga,SpVgg Bayreuth,21.0,306.0,0,0,0.0,1,75000.0
2560,Deutschland,3.Liga,,3. Liga,SpVgg Bayreuth,22.0,1050.0,0,0,0.0,1,50000.0
2585,Deutschland,3.Liga,,3. Liga,VfB Oldenburg,33.0,320.0,0,0,0.0,0,175000.0
2586,Deutschland,3.Liga,,3. Liga,VfB Oldenburg,28.0,108.0,0,0,0.0,0,125000.0
2587,Deutschland,3.Liga,,3. Liga,VfB Oldenburg,33.0,1781.0,0,0,0.0,0,25000.0
2588,Deutschland,3.Liga,,3. Liga,VfB Oldenburg,19.0,320.0,0,0,0.0,1,10000.0
2614,Österreich,1.Liga,,Bundesliga,RB Salzburg,25.0,1776.0,0,0,0.0,1,4000000.0
2615,Österreich,1.Liga,,Bundesliga,RB Salzburg,21.0,320.0,0,0,0.0,1,325000.0
2616,Österreich,1.Liga,,Bundesliga,RB Salzburg,19.0,136.0,0,0,0.0,1,300000.0
2617,Österreich,1.Liga,,Bundesliga,RB Salzburg,39.0,4697.0,0,0,2.0,0,100000.0
2645,Österreich,1.Liga,,Bundesliga,Sturm Graz,21.0,121.0,0,0,4.0,1,1500000.0
2646,Österreich,1.Liga,,Bundesliga,Sturm Graz,33.0,2146.0,0,0,2.0,0,400000.0
2647,Österreich,1.Liga,,Bundesliga,Sturm Graz,20.0,916.0,0,0,0.0,1,250000.0
2648,Österreich,1.Liga,,Bundesliga,Sturm Graz,25.0,3242.0,0,0,0.0,1,250000.0
2674,Österreich,1.Liga,,Bundesliga,LASK,27.0,2146.0,0,0,7.0,0,1000000.0
2675,Österreich,1.Liga,,Bundesliga,LASK,22.0,1781.0,0,0,2.0,0,300000.0
2676,Österreich,1.Liga,,Bundesliga,LASK,19.0,136.0,0,0,2.0,0,100000.0
2677,Österreich,1.Liga,,Bundesliga,LASK,40.0,1778.0,0,0,0.0,0,75000.0
2702,Österreich,1.Liga,,Bundesliga,Rapid Wien,22.0,866.0,0,0,1.0,1,1500000.0
2703,Österreich,1.Liga,,Bundesliga,Rapid Wien,26.0,2511.0,0,0,5.0,0,350000.0
2704,Österreich,1.Liga,,Bundesliga,Rapid Wien,24.0,1001.0,0,0,0.0,0,100000.0
2733,Österreich,1.Liga,,Bundesliga,Austria Wien,23.0,320.0,0,0,0.0,1,1000000.0
2734,Österreich,1.Liga,,Bundesliga,Austria Wien,26.0,2146.0,0,0,0.0,0,200000.0
2735,Österreich,1.Liga,,Bundesliga,Austria Wien,27.0,624.0,0,0,0.0,0,75000.0
2763,Österreich,1.Liga,,Bundesliga,Wolfsberger AC,29.0,320.0,0,0,0.0,1,400000.0
2764,Österreich,1.Liga,,Bundesliga,Wolfsberger AC,22.0,320.0,0,0,0.0,0,400000.0
2765,Österreich,1.Liga,,Bundesliga,Wolfsberger AC,21.0,685.0,0,0,0.0,1,75000.0
2788,Österreich,1.Liga,,Bundesliga,SCR Altach,21.0,127.0,0,0,1.0,1,400000.0
2789,Österreich,1.Liga,,Bundesliga,SCR Altach,27.0,1024.0,0,0,5.0,0,350000.0
2790,Österreich,1.Liga,,Bundesliga,SCR Altach,21.0,1406.0,0,0,0.0,1,200000.0
2817,Österreich,1.Liga,,Bundesliga,A. Klagenfurt,24.0,1019.0,0,0,1.0,1,700000.0
2818,Österreich,1.Liga,,Bundesliga,A. Klagenfurt,36.0,320.0,0,0,5.0,0,150000.0
2819,Österreich,1.Liga,,Bundesliga,A. Klagenfurt,21.0,685.0,0,0,0.0,1,75000.0
2820,Österreich,1.Liga,,Bundesliga,A. Klagenfurt,19.0,685.0,0,0,0.0,1,25000.0
2847,Österreich,1.Liga,,Bundesliga,A. Lustenau,28.0,1416.0,0,0,0.0,1,400000.0
2848,Österreich,1.Liga,Österreich U21,Bundesliga,A. Lustenau,24.0,300.0,0,1,2.0,0,200000.0
2849,Österreich,1.Liga,,Bundesliga,A. Lustenau,18.0,320.0,0,0,0.0,1,25000.0
2872,Österreich,1.Liga,Österreich U20,Bundesliga,TSV Hartberg,27.0,1781.0,0,1,1.0,1,300000.0
2873,Österreich,1.Liga,Österreich U21,Bundesliga,TSV Hartberg,24.0,117.0,0,1,9.0,0,250000.0
2874,Österreich,1.Liga,,Bundesliga,TSV Hartberg,34.0,3242.0,0,0,0.0,0,100000.0
2875,Österreich,1.Liga,,Bundesliga,TSV Hartberg,21.0,1019.0,0,0,0.0,1,25000.0
2905,Österreich,1.Liga,Österreich U21,Bundesliga,SV Ried,30.0,1007.0,0,1,12.0,1,700000.0
2906,Österreich,1.Liga,Österreich,Bundesliga,SV Ried,30.0,104.0,0,1,1.0,0,400000.0
2907,Österreich,1.Liga,,Bundesliga,SV Ried,22.0,659.0,0,0,0.0,1,250000.0
2908,Österreich,1.Liga,Österreich U19,Bundesliga,SV Ried,20.0,776.0,0,0,2.0,1,25000.0
2937,Österreich,1.Liga,Deutschland U17,Bundesliga,WSG Tirol,32.0,3242.0,0,1,1.0,1,400000.0
2938,Österreich,1.Liga,Österreich U19,Bundesliga,WSG Tirol,23.0,994.0,0,1,2.0,0,300000.0
2939,Österreich,1.Liga,Österreich U18,Bundesliga,WSG Tirol,19.0,685.0,0,0,0.0,1,25000.0
2940,Österreich,1.Liga,,Bundesliga,WSG Tirol,24.0,2146.0,0,0,0.0,1,25000.0
2964,Österreich,2.Liga,Ungarn U19,2. Liga,FC Liefering,19.0,685.0,0,0,0.0,1,125000.0
2965,Österreich,2.Liga,,2. Liga,FC Liefering,16.0,136.0,0,0,0.0,1,75000.0
2966,Österreich,2.Liga,Österreich U18,2. Liga,FC Liefering,18.0,320.0,1,0,3.0,1,75000.0
2997,Österreich,2.Liga,Österreich U19,2. Liga,Blau-Weiß Linz,26.0,1416.0,0,1,1.0,1,300000.0
2998,Österreich,2.Liga,Österreich U18,2. Liga,Blau-Weiß Linz,26.0,1019.0,0,1,0.0,0,75000.0
2999,Österreich,2.Liga,,2. Liga,Blau-Weiß Linz,20.0,320.0,0,0,0.0,1,10000.0
3000,Österreich,2.Liga,,2. Liga,Blau-Weiß Linz,24.0,320.0,0,0,0.0,1,10000.0
3024,Österreich,2.Liga,Österreich U21,2. Liga,SKN St. Pölten,22.0,685.0,0,0,1.0,1,300000.0
3025,Österreich,2.Liga,,2. Liga,SKN St. Pölten,25.0,320.0,0,0,0.0,0,100000.0
3026,Österreich,2.Liga,Österreich U21,2. Liga,SKN St. Pölten,32.0,860.0,0,1,2.0,0,50000.0
3052,Österreich,2.Liga,,2. Liga,Grazer AK 1902,25.0,1019.0,0,0,0.0,1,200000.0
3053,Österreich,2.Liga,,2. Liga,Grazer AK 1902,29.0,1232.0,0,0,0.0,0,125000.0
3054,Österreich,2.Liga,China U21,2. Liga,Grazer AK 1902,19.0,102.0,1,0,0.0,1,100000.0
3055,Österreich,2.Liga,,2. Liga,Grazer AK 1902,19.0,136.0,0,0,0.0,1,25000.0
3083,Österreich,2.Liga,,2. Liga,Admira Wacker,30.0,320.0,0,0,0.0,1,175000.0
3084,Österreich,2.Liga,Österreich U21,2. Liga,Admira Wacker,23.0,685.0,0,1,1.0,0,150000.0
3085,Österreich,2.Liga,,2. Liga,Admira Wacker,21.0,320.0,0,0,0.0,1,25000.0
3110,Österreich,2.Liga,Österreich U21,2. Liga,Young Violets,20.0,1416.0,0,0,0.0,1,225000.0
3111,Österreich,2.Liga,Österreich U18,2. Liga,Young Violets,18.0,320.0,1,0,5.0,1,50000.0
3138,Österreich,2.Liga,Österreich U19,2. Liga,Rapid Wien II,18.0,685.0,1,0,1.0,1,250000.0
3139,Österreich,2.Liga,Österreich U18,2. Liga,Rapid Wien II,17.0,685.0,1,0,3.0,1,175000.0
3140,Österreich,2.Liga,,2. Liga,Rapid Wien II,20.0,1050.0,0,0,0.0,1,50000.0
3141,Österreich,2.Liga,,2. Liga,Rapid Wien II,17.0,320.0,0,0,0.0,1,25000.0
3167,Österreich,2.Liga,Österreich,2. Liga,First Vienna FC,35.0,681.0,0,1,1.0,0,150000.0
3168,Österreich,2.Liga,,2. Liga,First Vienna FC,24.0,1561.0,0,0,0.0,1,75000.0
3169,Österreich,2.Liga,,2. Liga,First Vienna FC,20.0,320.0,0,0,0.0,1,25000.0
3194,Österreich,2.Liga,Österreich U21,2. Liga,Vorwärts Steyr,20.0,120.0,1,0,5.0,0,200000.0
3195,Österreich,2.Liga,,2. Liga,Vorwärts Steyr,24.0,320.0,0,0,0.0,1,175000.0
3196,Österreich,2.Liga,Österreich U16,2. Liga,Vorwärts Steyr,22.0,866.0,0,1,8.0,1,75000.0
3197,Österreich,2.Liga,,2. Liga,Vorwärts Steyr,20.0,665.0,0,0,0.0,0,10000.0
3222,Österreich,2.Liga,Österreich U21,2. Liga,FAC,20.0,685.0,0,0,1.0,1,200000.0
3223,Österreich,2.Liga,,2. Liga,FAC,23.0,313.0,0,0,0.0,0,100000.0
3224,Österreich,2.Liga,,2. Liga,FAC,21.0,320.0,0,0,0.0,1,25000.0
3245,Österreich,2.Liga,,2. Liga,SV Lafnitz,30.0,3423.0,0,0,0.0,0,200000.0
3246,Österreich,2.Liga,,2. Liga,SV Lafnitz,27.0,3242.0,0,0,0.0,1,75000.0
3247,Österreich,2.Liga,,2. Liga,SV Lafnitz,21.0,320.0,0,0,0.0,1,25000.0
3275,Österreich,2.Liga,Österreich U17,2. Liga,Sturm Graz II,17.0,320.0,1,0,6.0,1,50000.0
3276,Österreich,2.Liga,Österreich U17,2. Liga,Sturm Graz II,18.0,320.0,0,0,1.0,1,25000.0
3296,Österreich,2.Liga,Österreich U21,2. Liga,SKU Amstetten,20.0,318.0,1,0,5.0,1,300000.0
3297,Österreich,2.Liga,Österreich U19,2. Liga,SKU Amstetten,25.0,1416.0,0,1,1.0,0,150000.0
3298,Österreich,2.Liga,,2. Liga,SKU Amstetten,24.0,320.0,0,0,0.0,1,10000.0
3324,Österreich,2.Liga,Finnland U19,2. Liga,SV Horn,21.0,295.0,0,1,0.0,1,50000.0
3325,Österreich,2.Liga,,2. Liga,SV Horn,20.0,1019.0,0,0,0.0,0,50000.0
3326,Österreich,2.Liga,,2. Liga,SV Horn,18.0,136.0,0,0,0.0,1,10000.0
3327,Österreich,2.Liga,,2. Liga,SV Horn,17.0,136.0,0,0,0.0,1,10000.0
3345,Österreich,2.Liga,Österreich U21,2. Liga,SV Kapfenberg,24.0,119.0,0,1,1.0,1,200000.0
3346,Österreich,2.Liga,,2. Liga,SV Kapfenberg,18.0,317.0,0,0,0.0,1,125000.0
3347,Österreich,2.Liga,,2. Liga,SV Kapfenberg,22.0,317.0,0,0,0.0,0,25000.0
3379,Österreich,2.Liga,Liechtenstein,2. Liga,FC Dornbirn,23.0,320.0,1,0,4.0,1,250000.0
3380,Österreich,2.Liga,,2. Liga,FC Dornbirn,24.0,136.0,0,0,0.0,1,75000.0
3381,Österreich,2.Liga,Österreich U17,2. Liga,FC Dornbirn,20.0,685.0,0,1,1.0,1,25000.0
3400,Frankreich,1.Liga,Italien,Ligue 1,Paris SG,24.0,672.0,1,0,52.0,0,50000000.0
3401,Frankreich,1.Liga,Spanien,Ligue 1,Paris SG,29.0,984.0,0,1,1.0,0,4000000.0
3402,Frankreich,1.Liga,,Ligue 1,Paris SG,32.0,964.0,0,0,0.0,0,400000.0
3403,Frankreich,5.Liga,Frankreich U20,N3 - Paris Île-de-Fr.,Paris SG B,20.0,320.0,1,0,0.0,1,150000.0
3426,Frankreich,1.Liga,Deutschland U21,Ligue 1,AS Monaco,26.0,685.0,0,1,17.0,0,10000000.0
3427,Frankreich,1.Liga,Frankreich U21,Ligue 1,AS Monaco,27.0,301.0,0,1,6.0,0,1200000.0
3453,Frankreich,1.Liga,Türkei U21,Ligue 1,Rennes,20.0,628.0,1,0,4.0,1,4000000.0
3454,Frankreich,1.Liga,Frankreich,Ligue 1,Rennes,38.0,315.0,0,1,35.0,0,1500000.0
3455,Frankreich,1.Liga,,Ligue 1,Rennes,38.0,1416.0,0,0,0.0,0,300000.0
3456,Frankreich,1.Liga,Tunesien,Ligue 1,Rennes,20.0,320.0,0,1,0.0,1,200000.0
3481,Frankreich,1.Liga,Spanien,Ligue 1,Ol. Marseille,28.0,320.0,0,1,2.0,0,14000000.0
3482,Frankreich,1.Liga,Spanien U21,Ligue 1,Ol. Marseille,27.0,301.0,0,1,2.0,0,4000000.0
3483,Frankreich,1.Liga,Kamerun U23,Ligue 1,Ol. Marseille,20.0,1314.0,1,0,0.0,1,400000.0
3503,Frankreich,1.Liga,Dänemark,Ligue 1,OGC Nizza,36.0,287.0,1,0,91.0,0,2500000.0
3504,Frankreich,1.Liga,Polen U21,Ligue 1,OGC Nizza,23.0,320.0,0,1,1.0,1,2000000.0
3505,Frankreich,1.Liga,Algerien U23,Ligue 1,OGC Nizza,22.0,1050.0,1,0,0.0,1,150000.0
3530,Frankreich,1.Liga,Portugal,Ligue 1,Olympique Lyon,32.0,4338.0,0,1,14.0,0,9000000.0
3531,Frankreich,1.Liga,Frankreich U21,Ligue 1,Olympique Lyon,35.0,320.0,0,1,6.0,0,400000.0
3532,Frankreich,1.Liga,,Ligue 1,Olympique Lyon,21.0,320.0,0,0,0.0,0,200000.0
3553,Frankreich,1.Liga,Frankreich U21,Ligue 1,LOSC Lille,21.0,1050.0,1,0,1.0,1,10000000.0
3554,Frankreich,1.Liga,Frankreich,Ligue 1,LOSC Lille,35.0,111.0,0,1,1.0,0,1500000.0
3555,Frankreich,1.Liga,Slowakei,Ligue 1,LOSC Lille,26.0,2121.0,0,1,1.0,0,400000.0
3576,Frankreich,1.Liga,Frankreich,Ligue 1,RC Lens,29.0,316.0,1,0,0.0,1,10000000.0
3577,Frankreich,1.Liga,Venezuela,Ligue 1,RC Lens,25.0,685.0,0,0,40.0,0,4000000.0
3578,Frankreich,1.Liga,,Ligue 1,RC Lens,37.0,1781.0,0,0,0.0,0,300000.0
3579,Frankreich,1.Liga,Komoren U20,Ligue 1,RC Lens,22.0,320.0,1,0,0.0,1,200000.0
3606,Frankreich,1.Liga,Frankreich,Ligue 1,FC Nantes,24.0,685.0,0,0,0.0,1,20000000.0
3607,Frankreich,1.Liga,Frankreich U21,Ligue 1,FC Nantes,26.0,685.0,0,1,0.0,0,800000.0
3608,Frankreich,1.Liga,Slowenien U21,Ligue 1,FC Nantes,34.0,1385.0,0,1,1.0,0,200000.0
3633,Frankreich,1.Liga,Frankreich,Ligue 1,Montpellier,32.0,111.0,0,1,0.0,0,4000000.0
3634,Frankreich,1.Liga,Frankreich U21,Ligue 1,Montpellier,24.0,2146.0,0,1,1.0,1,1500000.0
3635,Frankreich,1.Liga,Senegal,Ligue 1,Montpellier,26.0,258.0,0,1,2.0,0,800000.0
3636,Frankreich,1.Liga,Portugal U19,Ligue 1,Montpellier,24.0,1416.0,0,1,0.0,1,300000.0
3661,Frankreich,1.Liga,Belgien,Ligue 1,R. Straßburg,31.0,1756.0,1,0,2.0,1,8000000.0
3662,Frankreich,1.Liga,Japan,Ligue 1,R. Straßburg,40.0,1722.0,0,0,95.0,0,200000.0
3663,Frankreich,1.Liga,Haiti,Ligue 1,R. Straßburg,22.0,685.0,1,0,3.0,0,100000.0
3687,Frankreich,1.Liga,Frankreich U21,Ligue 1,Stade Reims,23.0,1416.0,0,1,1.0,1,5000000.0
3688,Frankreich,1.Liga,,Ligue 1,Stade Reims,27.0,106.0,0,0,0.0,1,700000.0
3689,Frankreich,1.Liga,Frankreich U21,Ligue 1,Stade Reims,42.0,685.0,0,1,5.0,0,150000.0
3690,Frankreich,4.Liga,,National 2 - Grp. B,Stade Reims B,22.0,685.0,0,0,0.0,1,100000.0
3712,Frankreich,1.Liga,Schweiz,Ligue 1,FC Lorient,28.0,308.0,0,0,4.0,0,3500000.0
3713,Frankreich,1.Liga,Deutschland U21,Ligue 1,FC Lorient,28.0,106.0,0,1,7.0,0,600000.0
3714,Frankreich,1.Liga,Italien U21,Ligue 1,FC Lorient,35.0,258.0,0,1,8.0,0,300000.0
3715,Frankreich,1.Liga,,Ligue 1,FC Lorient,25.0,1050.0,0,0,0.0,1,150000.0
3738,Frankreich,1.Liga,Frankreich U20,Ligue 1,FC Toulouse,30.0,1050.0,0,1,0.0,1,2000000.0
3739,Frankreich,1.Liga,Norwegen U21,Ligue 1,FC Toulouse,24.0,320.0,0,1,5.0,1,400000.0
3740,Frankreich,1.Liga,,Ligue 1,FC Toulouse,22.0,685.0,0,0,0.0,1,150000.0
3764,Frankreich,1.Liga,,Ligue 1,Troyes,30.0,1416.0,0,0,0.0,0,2000000.0
3765,Frankreich,1.Liga,Polen U21,Ligue 1,Troyes,26.0,258.0,0,1,0.0,0,1000000.0
3766,Frankreich,1.Liga,,Ligue 1,Troyes,37.0,667.0,0,0,0.0,0,250000.0
3791,Frankreich,1.Liga,Niederlande,Ligue 1,Stade Brest 29,32.0,651.0,0,1,1.0,0,4000000.0
3792,Frankreich,1.Liga,Argentinien U23,Ligue 1,Stade Brest 29,22.0,294.0,0,1,1.0,1,500000.0
3793,Frankreich,1.Liga,Frankreich U19,Ligue 1,Stade Brest 29,24.0,681.0,0,1,0.0,1,200000.0
3817,Frankreich,1.Liga,Frankreich U23,Ligue 1,Angers SCO,26.0,1050.0,0,1,1.0,0,3000000.0
3818,Frankreich,1.Liga,Frankreich U21,Ligue 1,Angers SCO,22.0,320.0,0,0,0.0,1,2500000.0
3819,Frankreich,1.Liga,Frankreich U20,Ligue 1,Angers SCO,21.0,320.0,0,0,5.0,1,100000.0
3820,Frankreich,1.Liga,,Ligue 1,Angers SCO,20.0,320.0,0,0,0.0,1,100000.0
3848,Frankreich,1.Liga,Rumänien,Ligue 1,AJ Auxerre,25.0,112.0,1,0,4.0,0,3500000.0
3849,Frankreich,1.Liga,Fr. Guayana,Ligue 1,AJ Auxerre,30.0,1050.0,1,0,28.0,0,600000.0
3850,Frankreich,1.Liga,Martinique,Ligue 1,AJ Auxerre,22.0,791.0,1,0,0.0,0,150000.0
3851,Frankreich,1.Liga,,Ligue 1,AJ Auxerre,21.0,119.0,0,0,0.0,0,100000.0
3881,Frankreich,1.Liga,Senegal,Ligue 1,Clermont Foot,29.0,320.0,1,0,0.0,1,1500000.0
3882,Frankreich,1.Liga,,Ligue 1,Clermont Foot,25.0,1781.0,0,0,0.0,0,600000.0
3883,Frankreich,1.Liga,,Ligue 1,Clermont Foot,22.0,1049.0,0,0,0.0,1,150000.0
3906,Frankreich,1.Liga,,Ligue 1,AC Ajaccio,34.0,1781.0,0,0,0.0,0,600000.0
3907,Frankreich,1.Liga,,Ligue 1,AC Ajaccio,29.0,1781.0,0,0,0.0,1,300000.0
3908,Frankreich,1.Liga,,Ligue 1,AC Ajaccio,20.0,685.0,0,0,0.0,1,200000.0
3936,Frankreich,2.Liga,Frankreich U21,Ligue 2,AS St.-Étienne,26.0,131.0,0,1,2.0,0,3000000.0
3937,Frankreich,2.Liga,England U21,Ligue 2,AS St.-Étienne,22.0,866.0,0,1,2.0,0,3000000.0
3938,Frankreich,2.Liga,Frankreich U21,Ligue 2,AS St.-Étienne,34.0,267.0,0,1,1.0,0,300000.0
3939,Frankreich,2.Liga,Senegal U23,Ligue 2,AS St.-Étienne,22.0,862.0,1,0,2.0,0,200000.0
3964,Frankreich,2.Liga,Frankreich U21,Ligue 2,G. Bordeaux,24.0,2146.0,0,1,0.0,1,1500000.0
3965,Frankreich,2.Liga,Polen U18,Ligue 2,G. Bordeaux,24.0,320.0,0,1,1.0,0,700000.0
3991,Frankreich,2.Liga,,Ligue 2,AC Le Havre,29.0,320.0,0,0,0.0,0,1500000.0
3992,Frankreich,2.Liga,Frankreich U21,Ligue 2,AC Le Havre,32.0,1416.0,0,1,1.0,0,250000.0
3993,Frankreich,2.Liga,Elfenbeink. U23,Ligue 2,AC Le Havre,21.0,320.0,1,0,0.0,1,50000.0
4019,Frankreich,2.Liga,Frankreich U21,Ligue 2,FC Sochaux,26.0,2693.0,0,1,1.0,1,2000000.0
4020,Frankreich,2.Liga,Algerien,Ligue 2,FC Sochaux,32.0,1216.0,0,1,0.0,0,250000.0
4021,Frankreich,2.Liga,,Ligue 2,FC Sochaux,20.0,320.0,0,0,0.0,1,100000.0
4044,Frankreich,2.Liga,Frankreich U18,Ligue 2,FC Metz,29.0,1031.0,0,1,1.0,0,700000.0
4045,Frankreich,2.Liga,Algerien,Ligue 2,FC Metz,34.0,1781.0,1,0,6.0,0,600000.0
4046,Frankreich,2.Liga,Senegal U23,Ligue 2,FC Metz,20.0,685.0,1,0,2.0,1,400000.0
4065,Frankreich,2.Liga,Algerien,Ligue 2,SM Caen,26.0,320.0,1,0,3.0,1,1500000.0
4066,Frankreich,2.Liga,Martinique,Ligue 2,SM Caen,25.0,833.0,1,0,4.0,0,250000.0
4092,Frankreich,2.Liga,,Ligue 2,Amiens SC,36.0,2877.0,0,0,0.0,0,300000.0
4093,Frankreich,2.Liga,Frankreich U20,Ligue 2,Amiens SC,29.0,320.0,0,1,0.0,0,200000.0
4094,Frankreich,2.Liga,Frankreich U20,Ligue 2,Amiens SC,21.0,320.0,0,0,0.0,1,50000.0
