,PredictedValueSimpleModel
435,28411.412
436,1935019.0
437,275296.2
438,487009.75
439,320807.5
440,407210.75
441,712557.56
442,462898.5
443,-92751.17
447,1694192.4
448,124730.59
449,566418.56
450,301805.12
451,404095.53
452,373491.56
453,495162.4
454,231616.38
455,870898.56
456,-91867.47
458,338319.94
459,84147.03
460,245864.47
461,15648.885
462,-246294.61
463,171243.12
464,-319303.06
465,38731.17
466,-55156.414
467,294551.78
468,627821.56
469,344186.9
470,240133.84
471,1098515.6
472,1617859.5
476,438322.53
477,399607.25
478,275296.2
479,465794.9
480,84147.03
481,66734.73
482,589505.6
483,-7043.483
484,60417.35
485,-212812.62
486,399607.25
487,580643.0
488,465794.9
489,-123061.69
490,57660.844
491,25649.367
492,-75795.11
493,-82536.69
494,150317.67
495,155193.0
496,323983.4
497,199608.81
498,153037.6
499,240133.84
500,502780.1
501,594753.25
502,46545.266
503,314755.34
504,305606.72
508,151976.6
509,597511.2
510,-244097.2
512,189871.97
513,154168.56
514,-214757.4
515,-132543.22
516,465187.2
517,-98339.59
518,275296.2
519,-48536.266
520,731560.5
521,508775.22
522,453740.44
523,301714.9
524,649533.75
525,344186.9
526,502780.1
527,314755.34
528,462898.5
529,272160.3
530,620102.2
534,245864.47
535,580643.0
536,-146835.88
537,245864.47
538,959501.75
539,-27581.098
540,31031.594
541,106763.62
542,628213.4
543,465187.2
544,720888.9
545,456387.7
546,171243.12
547,294551.78
548,628144.9
549,-33849.473
550,697104.1
551,552905.75
552,274230.34
553,-13645.945
554,-37996.477
555,462898.5
556,665806.56
557,-47983.82
558,344186.9
559,434768.4
563,-147412.25
564,-189763.22
565,-320663.03
566,-123061.69
568,-666138.75
569,-214757.4
570,654158.9
571,234770.97
572,-93812.25
573,-123061.69
574,-123061.69
576,333148.44
577,-74374.45
579,-54170.953
580,104422.1
581,278720.8
582,45951.312
583,-54170.953
584,130718.24
585,-275027.97
589,82202.24
590,556390.8
591,205339.4
592,130718.24
593,-173068.28
594,582588.94
595,368669.66
596,90486.914
597,306101.66
598,544602.5
599,424662.12
600,-10041.822
601,424662.12
602,359217.22
603,166759.19
604,283458.28
605,620430.8
606,466688.16
607,265081.53
608,-131516.19
609,432823.6
610,199608.81
611,130718.24
612,363932.9
615,517810.6
616,-118162.72
617,176730.44
618,424662.12
619,140198.25
620,518041.47
621,495992.75
622,113643.67
623,234770.97
624,234770.97
625,671478.25
626,442051.66
627,466688.16
628,274230.34
629,-54170.953
630,274230.34
631,772035.06
632,466688.16
633,604344.5
634,235649.94
638,82202.24
639,130718.24
640,-147412.25
641,861670.6
642,551540.06
643,149346.89
644,638312.9
645,303534.94
646,168841.27
647,-30999.207
648,-200406.84
649,517810.6
650,437201.03
651,312707.7
652,244877.97
653,407769.4
654,151092.8
655,151092.8
656,330499.12
657,495937.6
658,457357.34
659,466688.16
660,226825.17
663,284461.22
665,320609.53
666,-123061.69
667,-93812.25
668,-149804.84
670,-214757.4
672,205339.4
673,59930.188
674,-216949.34
675,130718.24
676,-45125.03
677,333148.44
678,56268.234
680,353351.8
682,-63501.71
684,-161642.0
689,-147412.25
692,-123061.69
693,-123061.69
694,158308.66
695,-123061.69
696,267386.56
697,39022.484
698,130718.24
699,-123061.69
700,-177444.94
701,395230.5
702,130718.24
704,359082.2
705,-74374.45
706,-111826.54
707,-465592.47
708,-24921.523
711,45951.312
712,274230.34
716,82202.24
717,17135.834
718,-123061.69
719,-123061.69
720,178778.47
721,143075.14
722,82202.24
723,92138.016
724,-123061.69
725,-185992.47
726,130718.24
727,205339.4
728,-123061.69
729,-21049.477
730,283458.28
731,-74374.45
732,303661.84
733,265081.53
734,303661.84
735,303661.84
736,32648.852
740,196190.75
741,130718.24
742,551540.06
743,440912.72
744,284461.22
745,149346.89
746,296818.2
747,332966.5
748,-253337.66
749,397797.47
750,397797.47
751,587688.4
753,-173068.28
754,359082.2
755,234770.97
756,397797.47
757,130889.46
758,254026.62
759,-74374.45
760,-98724.984
761,303661.84
762,466688.16
763,235649.94
766,397797.47
767,-272800.34
769,-203404.75
770,217809.97
771,-103809.375
772,332966.5
773,-101737.58
774,-214757.4
775,388513.8
776,397797.47
777,397797.47
778,397797.47
779,359217.22
780,388513.8
781,177777.08
782,92138.016
783,265081.53
784,488453.5
785,452305.2
786,235649.94
787,466688.16
791,336027.56
792,130718.24
793,395230.5
794,289906.88
796,-214757.4
797,267386.56
798,-214757.4
800,159967.6
801,130718.24
804,82202.24
805,-528807.6
806,-123061.69
808,-141075.97
809,-54170.953
810,161028.6
812,-54170.953
813,-54170.953
814,-92751.17
819,143704.94
820,225440.19
821,652550.3
823,332272.6
824,341805.0
826,306101.66
827,-214757.4
828,459844.44
829,1750825.6
830,229671.56
831,419562.75
833,587688.4
834,930975.2
836,540118.0
837,600227.25
839,274230.34
840,423674.9
841,47841.227
844,424662.12
845,262361.6
846,397797.47
847,-123061.69
848,74725.69
849,55459.156
850,113643.67
851,332966.5
852,362215.94
853,166759.19
854,3651.176
855,551540.06
856,587688.4
857,234770.97
858,397797.47
859,234770.97
860,234770.97
861,-104727.375
862,239769.03
863,274230.34
864,620430.8
865,-102084.516
866,-170096.4
867,166759.19
870,111451.67
871,397797.47
872,205339.4
873,368669.66
874,178778.47
875,36145.508
876,495992.75
877,424662.12
878,424662.12
880,205339.4
881,397797.47
882,383414.44
883,359082.2
884,283458.28
885,910357.9
886,1640984.5
887,620430.8
888,366389.7
889,-140325.84
890,-125492.664
894,1189531.6
895,359082.2
896,-160513.75
897,-189763.22
898,182285.16
899,130718.24
900,-179054.25
901,74725.69
902,90589.57
903,-93812.25
904,130718.24
905,-123061.69
906,395230.5
907,-123061.69
908,-123061.69
909,1192847.0
910,464121.2
911,-54170.953
912,274230.34
913,1453679.4
914,-24921.523
918,-123061.69
919,556390.8
920,587688.4
921,234770.97
923,332521.34
924,103975.19
925,531695.94
926,178778.47
927,-9493.428
929,234770.97
930,-369178.9
931,92138.016
932,-123061.69
