no,name,league,club
10,Mattia Bottani,Super League,FC Lugano
31,Ignacio Aliseda,Super League,FC Lugano
11,Renato Steffen,Super League,FC Lugano
18,Hicham Mahou,Super League,FC Lugano
9,Zan Celar,Super League,FC Lugano
47,Mohamed Amoura,Super League,FC Lugano
27,Boris Babic,Super League,FC Lugano
22,Denis Will Poha,Super League,FC Sion
12,Alexandros Safarikas,Super League,FC Sion
18,Kevin Fickentscher,Super League,FC Sion
39,Nathanaël Saintini,Super League,FC Sion
2,Joël Schmied,Super League,FC Sion
97,Dimitri Cavaré,Super League,FC Sion
3,Reto Ziegler,Super League,FC Sion
71,Gilles Richard,Super League,FC Sion
ora,Diouf,1. Liga Gr. 1,FC Sion U21
8,Baltazar,Super League,FC Sion
90,François Moubandje,Super League,FC Sion
21,Dennis Iapichino,Super League,FC Sion
19,Numa Lavanchy,Super League,FC Sion
10,Wylan Cyprien,Super League,FC Sion
14,Anto Grgic,Super League,FC Sion
20,Musa Araz,Super League,FC Sion
7,Luca Zuffi,Super League,FC Sion
15,José Aguilar,Super League,FC Sion
64,André Edgar,Super League,FC Sion
9,Ilyas Chouaref,Super League,FC Sion
33,Kevin Bua,Super League,FC Sion
29,Kevin Halabaku,Super League,FC Sion
76,Itaitinga,Super League,FC Sion
45,Mario Balotelli,Super League,FC Sion
13,Giovanni Sio,Super League,FC Sion
11,Gaëtan Karlen,Super League,FC Sion
27,Abdel Zagré,Super League,FC Sion
30,Markus Kuster,Super League,FC Winterthur
36,Jozef Pukaj,Super League,FC Winterthur
27,Armin Abaz,Super League,FC Winterthur
25,Yannick Schmid,Super League,FC Winterthur
5,Roy Gelmi,Super League,FC Winterthur
23,Granit Lekaj,Super League,FC Winterthur
18,Souleymane Diaby,Super League,FC Winterthur
3,Tobias Schättin,Super League,FC Winterthur
19,Adrian Gantenbein,Super League,FC Winterthur
15,Michael Gonçalves,Super League,FC Winterthur
14,Thibault Corbaz,Super League,FC Winterthur
16,Remo Arnold,Super League,FC Winterthur
40,Hekuran Kryeziu,Super League,FC Winterthur
77,Eris Abedini,Super League,FC Winterthur
21,Kevin Costinha,Super League,FC Winterthur
8,Samir Ramizi,Super League,FC Winterthur
20,Carmine Chiappetta,Super League,FC Winterthur
10,Matteo Di Giusto,Super League,FC Winterthur
44,Francisco Rodríguez,Super League,FC Winterthur
24,Sayfallah Ltaief,Super League,FC Winterthur
11,Joaquín Ardaiz,Super League,FC Winterthur
17,Samuel Ballet,Super League,FC Winterthur
99,Nishan Burkart,Super League,FC Winterthur
9,Roman Buess,Super League,FC Winterthur
7,Neftali Manzambi,Super League,FC Winterthur
