league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Griechenland;20230422105505;https://www.transfermarkt.ch/antonis-pertsiounis/profil/spieler/836813;;Antonis Pertsiounis;;AE Evosmou;;;;;10 Tsd. €;28.06.2021;21;;Griechenland;Mittelfeld;;;;01.07.2022;30.06.2023;;;;;;;;;;;;;;;;;;;;;;;;;
Griechenland;20230422105554;https://www.transfermarkt.ch/markos-vellidis/profil/spieler/27583;1;Markos Vellidis;Super League 2;Iraklis;2.Liga;150 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;1,25 Mio. €;21.09.2012;36;1,85 m;Griechenland;Torwart;rechts;;;13.07.2022;30.06.2024;;Griechenland;1;0;83;85;0;;;;;;;;;;;;;;;;;;
Griechenland;20230422105615;https://www.transfermarkt.ch/panagiotis-vosniadis/profil/spieler/206693;13;Panagiotis Vosniadis;Super League 2;Kallithea;2.Liga;100 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;250 Tsd. €;09.04.2012;33;1,90 m;Griechenland;Torwart;rechts;BELLATORsports;;17.09.2021;30.06.2023;;;;;21;21;0;;;;;;;;;;;;;;;;;;
Griechenland;20230422105636;https://www.transfermarkt.ch/vasilios-tsimopoulos/profil/spieler/458499;37;Vasilios Tsimopoulos;Super League 2;Thesprotos;2.Liga;75 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;75 Tsd. €;27.02.2023;22;1,90 m;Griechenland;Torwart;rechts;ZAIX;;27.08.2022;30.06.2023;;Griechenl. U18;0;0;95;95;0;;;;30;1;18;0,50;2;;-;-;-;2;-;-;;;1.620'
Griechenland;20230422105652;https://www.transfermarkt.ch/giannis-vantsis/profil/spieler/836808;;Giannis Vantsis;;PO Moudanion;;;;;;;20;1,85 m;Griechenland;Torwart;;;;01.07.2022;30.06.2023;;;;;;;;;;;;;;;;;;;;;;;;;
Griechenland;20230422105740;https://www.transfermarkt.ch/apostolos-skondras/profil/spieler/96813;44;Apostolos Skondras;Super League 2;Anag. Karditsas;2.Liga;200 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;400 Tsd. €;21.06.2016;34;1,85 m;Griechenland;Innenverteidiger;rechts;ELITE SPORTS KSE LTD;;05.08.2022;30.06.2023;;;;;74;70;;4;;Gelbsperre - Super League 2bis 29.04.2023;;;;;;;;;;;;;;;
Griechenland;20230422105807;https://www.transfermarkt.ch/stelios-marangos/profil/spieler/164470;;Stelios Marangos;;FS Kozani;;;;;400 Tsd. €;27.09.2015;33;1,82 m;Griechenland;Innenverteidiger;rechts;Sportseleven Berlin;;31.01.2023;30.06.2023;;;;;;;;;;;;;;;;;;;;;;;;;
Griechenland;20230422105845;https://www.transfermarkt.ch/dimitrios-stamou/profil/spieler/160510;5;Dimitrios Stamou;Super League 2;OF Ierapetras;2.Liga;125 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;350 Tsd. €;21.11.2011;31;1,85 m;Griechenland;Innenverteidiger;rechts;;;02.09.2022;30.06.2023;;Griechenland U21;5;0;94;94;;0;;;;;;;;;;;;;;;;;
Griechenland;20230422105905;https://www.transfermarkt.ch/anastasios-tasiopoulos/profil/spieler/887484;;Anastasios Tasiopoulos;;Vereinslos;Veria NPS;25 Tsd. €Letzte Änderung: 27.06.2022;Tsd. €;Letzte Änderung: 27.06.2022;25 Tsd. €;28.06.2021;18;;Griechenland;Innenverteidiger;rechts;;Puma;17.01.2023;-;;;;;;;;;;;;;;;;;;;;;;;;;
Griechenland;20230422105929;https://www.transfermarkt.ch/stavros-petavrakis/profil/spieler/179548;3;Stavros Petavrakis;Super League 2;Panserraikos;2.Liga;300 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;450 Tsd. €;21.12.2014;30;1,76 m;Griechenland;Linker Verteidiger;links;ohne Berater;;15.07.2022;30.06.2024;;;;;83;83;;3;;;;;;;;;;;;;;;;;
