league_country;scraping_time;link;no;name;league;club;image;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Kroatien;20230515230319;https://www.transfermarkt.ch/dominik-livakovic/profil/spieler/205927;40;Dominik Livakovic;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/205927-1669205618.jpg?lm=1;1.Liga;14,00 Mio. €Letzte Änderung: 23.12.2022;Mio. €;Letzte Änderung: 23.12.2022;15,00 Mio. €;28.05.2021;28;1,88 m;Kroatien;Torwart;rechts;CAA Stellar;;31.08.2015;15.06.2024;;Kroatien;;43;0;97;97;100;;http://www.instagram.com/dominiklivakovic40/;0;26;11;33;2,18;-;;-;-;-;1;-;-;;;2.970'
Kroatien;20230515230342;https://www.transfermarkt.ch/ivan-nevistic/profil/spieler/293185;33;Ivan Nevistic;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/293185-1611931768.jpg?lm=1;1.Liga;1,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,00 Mio. €;28.12.2020;24;1,95 m;Kroatien;Torwart;rechts;ohne Berater;Uhlsport;28.01.2021;15.06.2025;;;Kroatien U21;1;0;3;3;0;;;0;-;1;1;3,00;-;;-;-;-;-;-;-;;;90'
Kroatien;20230515230400;https://www.transfermarkt.ch/danijel-zagorac/profil/spieler/131310;1;Danijel Zagorac;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/131310-1605120212.jpg?lm=1;1.Liga;200 Tsd. €Letzte Änderung: 08.11.2022;Tsd. €;Letzte Änderung: 08.11.2022;850 Tsd. €;14.09.2016;36;1,86 m;Kroatien;Torwart;rechts;MM Sports World;;11.07.2016;30.06.2026;;;;;;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Kroatien;20230515230423;https://www.transfermarkt.ch/josip-sutalo/profil/spieler/371001;37;Josip Sutalo;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/371001-1683031171.jpg?lm=1;1.Liga;18,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;18,00 Mio. €;08.11.2022;23;1,90 m;Kroatien;Innenverteidiger;rechts;MN Sport;;07.01.2020;15.06.2028;;Kroatien;;6;0;71;68;;3;;0;;;25;2,24;2;-;-;1;2;4;-;-;-;1.048';2.096'
Kroatien;20230515230441;https://www.transfermarkt.ch/dino-peric/profil/spieler/240106;55;Dino Peric;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/240106-1605120326.jpg?lm=1;1.Liga;5,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;6,00 Mio. €;27.12.2019;28;1,97 m;Kroatien;Innenverteidiger;links;MG MEDIATOR TRANSFER;;07.07.2017;15.06.2026;;;Kroatien;2;0;62;62;;4;;0;;;22;2,27;2;1;-;1;3;2;-;-;-;944';1.887'
Kroatien;20230515230500;https://www.transfermarkt.ch/bosko-sutalo/profil/spieler/431698;4;Bosko Sutalo;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/431698-1630660949.jpg?lm=1;1.Liga;3,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,50 Mio. €;11.02.2020;23;1,88 m;Kroatien;Innenverteidiger;rechts;PROSPORTM;;01.07.2022;30.06.2027;;;Kroatien U21;19;1;12;9;;1;http://www.instagram.com/bole_topp/;0;;;4;2,50;1;-;-;-;2;-;-;-;-;274';274'
Kroatien;20230515230517;https://www.transfermarkt.ch/mauro-perkovic/profil/spieler/676266;39;Mauro Perkovic;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/676266-1646599465.png?lm=1;1.Liga;2,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;2,50 Mio. €;08.11.2022;20;1,85 m;Kroatien;Innenverteidiger;links;LSA;;16.02.2023;15.06.2023;;Kroatien U21;;2;0;68;68;;5;;0;;;8;2,13;-;1;-;2;-;1;-;-;-;-;559'
Kroatien;20230515230537;https://www.transfermarkt.ch/kevin-theophile-catherine/profil/spieler/60603;28;Kévin Théophile-Catherine;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/60603-1605120558.jpg?lm=1;1.Liga;1,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;5,00 Mio. €;07.01.2013;33;1,83 m;Martinique;Innenverteidiger;rechts;;;06.07.2018;30.06.2023;;;Martinique;0;0;18;18;;1;http://www.instagram.com/kevintheophilecofficial/;0;;;6;1,67;-;1;-;-;-;-;-;-;-;-;540'
Kroatien;20230515230557;https://www.transfermarkt.ch/jakov-gurlica/profil/spieler/985061;35;Jakov Gurlica;SuperSport HNL;Dinamo Zagreb;;1.Liga;;;;;;19;;Kroatien;Innenverteidiger;;GreenField;;02.01.2023;18.01.2026;;;;;;0;1;;0;;0;;;;;;;;;;;;;;;
Kroatien;20230515230637;https://www.transfermarkt.ch/robert-ljubicic/profil/spieler/353634;14;Robert Ljubicic;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/353634-1634892298.png?lm=1;1.Liga;3,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,50 Mio. €;08.11.2022;23;1,78 m;Kroatien;Linker Verteidiger;links;Familienangehörige;;01.07.2022;15.06.2027;;;Österreich U21;1;0;79;78;;5;;0;;;31;2,23;1;3;-;4;4;5;-;-;-;2.382';2.382'
Kroatien;20230515230657;https://www.transfermarkt.ch/sadegh-moharrami/profil/spieler/294778;2;Sadegh Moharrami;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/294778-1605122075.jpg?lm=1;1.Liga;2,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;2,00 Mio. €;08.11.2022;27;1,74 m;Iran;Rechter Verteidiger;rechts;PIFA;;02.07.2018;30.06.2025;;Iran;;24;0;41;46;;3;;0;;;23;2,26;-;2;-;9;1;1;-;-;-;-;1.411'
Kroatien;20230515230716;https://www.transfermarkt.ch/stefan-ristovski/profil/spieler/104466;13;Stefan Ristovski;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/104466-1548509634.jpg?lm=1;1.Liga;2,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;4,00 Mio. €;07.06.2019;31;1,80 m;Nordmazedonien;Rechter Verteidiger;rechts;Leonardo Corsi;Nike;02.02.2021;15.06.2024;;Nordmazedonien;;77;2;74;71;;9;http://www.instagram.com/stefan_ristovski_13/;0;;;27;2,07;4;3;-;2;7;3;-;-;-;543';2.173'
Kroatien;20230515230736;https://www.transfermarkt.ch/josip-misic/profil/spieler/227035;27;Josip Misic;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/227035-1515140198.jpg?lm=1;1.Liga;3,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,50 Mio. €;08.11.2022;28;1,87 m;Kroatien;Defensives Mittelfeld;rechts;MG MEDIATOR TRANSFER;;01.07.2021;30.06.2026;;;Kroatien;2;0;91;91;;4;;0;;;33;2,24;2;1;-;2;4;2;1;-;-;1.397';2.794'
Kroatien;20230515230800;https://www.transfermarkt.ch/marko-bulat/profil/spieler/491039;31;Marko Bulat;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/491039-1662491864.jpg?lm=1;1.Liga;2,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,00 Mio. €;10.06.2021;21;1,78 m;Kroatien;Defensives Mittelfeld;rechts;Familienangehörige;;11.02.2021;30.06.2027;Kroatien U21;;;3;0;18;23;;3;;0;;;19;2,21;-;2;-;13;3;-;-;-;-;-;686'
Kroatien;20230515230824;https://www.transfermarkt.ch/fran-tomek/profil/spieler/502692;;Fran Tomek;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/502692-1676412807.jpg?lm=1;1.Liga;300 Tsd. €Letzte Änderung: 08.11.2022;Tsd. €;Letzte Änderung: 08.11.2022;350 Tsd. €;30.12.2021;20;;Kroatien;Defensives Mittelfeld;;Marjan Sisic;;01.07.2022;30.06.2028;;;Kroatien U20;1;0;0;0;;0;;0;;;1;0,00;-;-;-;1;-;1;-;-;-;-;3'
Kroatien;20230515230847;https://www.transfermarkt.ch/luka-ivanusec/profil/spieler/387105;7;Luka Ivanusec;SuperSport HNL;Dinamo Zagreb;https://img.a.transfermarkt.technology/portrait/header/387105-1605121267.jpg?lm=1;1.Liga;10,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;13,50 Mio. €;28.05.2021;24;1,75 m;Kroatien;Offensives Mittelfeld;rechts;TTMA;;19.08.2019;15.06.2026;;Kroatien;;12;1;79;79;;19;http://www.instagram.com/lukaivanusec/;0;;;31;2,29;10;4;-;4;10;3;-;-;-;241';2.407'
