league_country;scraping_time;link;no;name;league;club;image;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Schweiz;20230515230319;https://www.transfermarkt.ch/david-von-ballmoos/profil/spieler/203124;26;David von Ballmoos;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/203124-1683103541.jpg?lm=1;1.Liga;2,50 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;3,50 Mio. €;07.10.2019;28;1,92 m;Schweiz;Torwart;rechts;Giallanza Sport;adidas;01.07.2013;30.06.2025;Schweiz;;;0;0;45;45;50;;http://www.instagram.com/davidvonballmoos/;1;9;7;15;2,13;-;;-;-;1;-;-;-;;;1.324'
Schweiz;20230515230339;https://www.transfermarkt.ch/anthony-racioppi/profil/spieler/395671;1;Anthony Racioppi;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/395671-1543939736.jpg?lm=1;1.Liga;1,30 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;2,00 Mio. €;07.01.2021;24;1,88 m;Schweiz;Torwart;rechts;Guanabara Esportes ...;;10.01.2022;30.06.2025;;;Schweiz U21;13;0;52;52;0;;http://www.instagram.com/racioppi_anthony/;0;17;6;18;2,00;-;;-;1;-;-;-;-;;;1.556'
Schweiz;20230515230404;https://www.transfermarkt.ch/marvin-keller/profil/spieler/500763;33;Marvin Keller;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/500763-1666944471.jpg?lm=1;1.Liga;500 Tsd. €Letzte Änderung: 29.12.2022;Tsd. €;Letzte Änderung: 29.12.2022;500 Tsd. €;29.12.2022;20;1,90 m;Schweiz;Torwart;;IFM;;13.02.2023;30.06.2027;;Schweiz U21;;2;0;8;8;0;;;0;1;-;1;1,00;-;;-;-;-;-;-;-;;;90'
Schweiz;20230515230424;https://www.transfermarkt.ch/dario-marzino/profil/spieler/254968;40;Dario Marzino;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/254968-1533135547.jpg?lm=1;1.Liga;100 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;300 Tsd. €;21.04.2021;26;1,84 m;Schweiz;Torwart;rechts;Front Group GmbH;;08.07.2022;30.06.2024;;;Schweiz U21;0;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Schweiz;20230515230449;https://www.transfermarkt.ch/leandro-zbinden/profil/spieler/507524;61;Leandro Zbinden;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/507524-1646126022.jpg?lm=1;1.Liga;100 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;100 Tsd. €;04.10.2021;20;1,89 m;Schweiz;Torwart;;Soccer Mondial AG;;01.07.2021;30.06.2023;;;Schweiz U15;1;0;;;;;;1;;;;;;;;;;;;;;;
Schweiz;20230515230506;https://www.transfermarkt.ch/mohamed-camara/profil/spieler/426723;13;Mohamed Camara;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/426723-1533135666.jpg?lm=1;1.Liga;5,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;5,00 Mio. €;28.03.2023;25;1,91 m;Guinea;Innenverteidiger;rechts;CAA Stellar;;06.07.2018;30.06.2024;;Guinea;;19;0;33;32;;0;http://www.instagram.com/camara_mhdali4/;1;;;11;2,36;-;-;-;-;1;2;-;-;-;-;956'
Schweiz;20230515230520;https://www.transfermarkt.ch/cedric-zesiger/profil/spieler/382478;5;Cédric Zesiger;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/382478-1683103422.jpg?lm=1;1.Liga;4,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;4,00 Mio. €;28.03.2023;24;1,94 m;Schweiz;Innenverteidiger;links;IFM;adidas;01.07.2019;30.06.2025;;Schweiz;;2;0;85;85;;3;http://www.instagram.com/zesiger5/;0;;;29;2,00;2;-;-;1;1;8;1;-;-;1.265';2.530'
Schweiz;20230515230538;https://www.transfermarkt.ch/sandro-lauper/profil/spieler/254965;30;Sandro Lauper;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/254965-1533136141.jpg?lm=1;1.Liga;1,50 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;3,00 Mio. €;21.01.2019;26;1,85 m;Schweiz;Innenverteidiger;rechts;Sport 11 AG;Nike;01.07.2018;30.06.2025;;;Schweiz;0;0;33;36;;5;http://www.instagram.com/sml.30/;0;;;17;2,06;2;2;-;6;3;1;-;-;-;534';1.068'
Schweiz;20230515230554;https://www.transfermarkt.ch/aurele-amenda/profil/spieler/635645;4;Aurèle Amenda;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/635645-1646126170.jpg?lm=1;1.Liga;500 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;500 Tsd. €;28.03.2023;19;1,94 m;Schweiz;Innenverteidiger;;Signature - ISCM AG;adidas;01.01.2022;30.06.2025;;Schweiz U21;;1;0;24;27;;0;;0;;;13;1,77;-;-;1;5;-;1;-;-;-;-;816'
Schweiz;20230515230615;https://www.transfermarkt.ch/fabian-lustenberger/profil/spieler/42203;28;Fabian Lustenberger;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/42203-1532355372.jpg?lm=1;1.Liga;400 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;5,00 Mio. €;12.02.2014;35;1,80 m;Schweiz;Innenverteidiger;rechts;Signature - ISCM AG;;01.07.2019;30.06.2024;;;Schweiz;3;0;58;57;;0;;0;;;24;2,17;-;-;1;5;5;4;-;-;-;-;1.700'
Schweiz;20230515230634;https://www.transfermarkt.ch/ulisses-garcia/profil/spieler/192616;21;Ulisses Garcia;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/192616-1533135841.jpg?lm=1;1.Liga;2,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;3,00 Mio. €;03.01.2022;27;1,83 m;Schweiz;Linker Verteidiger;links;Soccer Mondial AG;Nike;01.07.2018;30.06.2024;;;Schweiz;4;0;67;63;;14;http://www.instagram.com/ulissesgarcia20/;0;;;24;2,00;1;10;-;2;7;4;-;1;-;1.858';1.858'
Schweiz;20230515230650;https://www.transfermarkt.ch/loris-benito/profil/spieler/119085;23;Loris Benito;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/119085-1623748420.jpg?lm=1;1.Liga;800 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;4,00 Mio. €;04.06.2019;31;1,84 m;Schweiz;Linker Verteidiger;links;SBE Management AG;;04.07.2022;30.06.2025;;;Schweiz;13;1;27;28;;4;http://www.instagram.com/lorisbenito/;0;;;16;2,19;-;3;-;7;3;-;-;-;-;-;846'
Schweiz;20230515230708;https://www.transfermarkt.ch/kevin-ruegg/profil/spieler/290032;17;Kevin Rüegg;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/290032-1515430010.jpg?lm=1;1.Liga;1,00 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;6,00 Mio. €;04.06.2019;24;1,73 m;Schweiz;Rechter Verteidiger;rechts;SBE Management AG;Nike;16.07.2022;30.06.2023;;;Schweiz U21;17;0;21;19;;1;http://www.instagram.com/kevin.rueegg;0;;;9;2,22;-;1;-;2;6;1;-;-;-;-;556'
Schweiz;20230515230727;https://www.transfermarkt.ch/lewin-blum/profil/spieler/507455;27;Lewin Blum;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/507455-1646126761.jpg?lm=1;1.Liga;1,00 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;1,00 Mio. €;10.11.2022;21;1,81 m;Schweiz;Rechter Verteidiger;rechts;IFM;;01.07.2021;30.06.2027;;Schweiz U21;;7;0;67;64;;5;;0;;;29;2,07;1;3;-;7;10;7;-;-;-;1.893';1.893'
Schweiz;20230515230747;https://www.transfermarkt.ch/quentin-maceiras/profil/spieler/274498;24;Quentin Maceiras;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/274498-1532791881.jpg?lm=1;1.Liga;500 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;1,00 Mio. €;12.07.2018;27;1,81 m;Schweiz;Rechter Verteidiger;rechts;Gold Kick SA;;11.08.2020;30.06.2024;;;;;;9;11;;0;;0;;;6;1,50;-;-;-;3;1;1;-;-;-;-;322'
Schweiz;20230515230814;https://www.transfermarkt.ch/cheikh-niasse/profil/spieler/644032;20;Cheikh Niasse;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/644032-1595970130.jpg?lm=1;1.Liga;2,50 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;2,50 Mio. €;10.11.2022;23;1,88 m;Senegal;Defensives Mittelfeld;rechts;DKN Agency;adidas;03.02.2022;30.06.2026;;;;;;61;57;;1;;1;;;25;2,08;-;1;-;5;8;7;-;-;-;-;1.681'
Schweiz;20230515230836;https://www.transfermarkt.ch/miguel-chaiwa/profil/spieler/956604;14;Miguel Chaiwa;Super League;BSC Young Boys;;1.Liga;100 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;100 Tsd. €;28.03.2023;18;1,81 m;Sambia;Defensives Mittelfeld;rechts;Guanabara Esportes ...;;01.07.2022;30.06.2027;;Sambia;;1;0;6;8;;0;;0;;;;;;;;;;;;;;;
Schweiz;20230515230902;https://www.transfermarkt.ch/kastriot-imeri/profil/spieler/469957;29;Kastriot Imeri;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/469957-1637912474.jpg?lm=1;1.Liga;7,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;8,00 Mio. €;08.06.2022;22;1,78 m;Schweiz;Zentrales Mittelfeld;rechts;Footuro AG;adidas;16.08.2022;30.06.2026;;Schweiz U21;;20;7;46;48;;12;;0;;;24;2,17;4;4;-;11;8;-;-;-;-;304';1.217'
Schweiz;20230515230926;https://www.transfermarkt.ch/filip-ugrinic/profil/spieler/394236;7;Filip Ugrinic;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/394236-1652901085.png?lm=1;1.Liga;2,70 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;2,70 Mio. €;10.11.2022;24;1,84 m;Schweiz;Linkes Mittelfeld;rechts;Soccer Mondial AG;;01.07.2022;30.06.2026;;;Schweiz U21;1;0;55;52;;8;;0;;;26;2,12;1;5;-;8;11;2;-;-;-;1.553';1.553'
Schweiz;20230515230948;https://www.transfermarkt.ch/fabian-rieder/profil/spieler/507341;32;Fabian Rieder;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/507341-1667990751.jpg?lm=1;1.Liga;12,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;12,00 Mio. €;28.03.2023;21;1,81 m;Schweiz;Offensives Mittelfeld;links;IFM;;14.01.2021;30.06.2025;;Schweiz;;4;0;88;81;;15;http://www.instagram.com/fabianriieder/;0;;;30;2,07;7;5;-;1;14;9;-;-;1;342';2.391'
Schweiz;20230515231009;https://www.transfermarkt.ch/donat-rrudhani/profil/spieler/534360;22;Donat Rrudhani;Super League;BSC Young Boys;https://img.a.transfermarkt.technology/portrait/header/534360-1629125097.jpg?lm=1;1.Liga;700 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;700 Tsd. €;10.11.2022;24;1,86 m;Kosovo;Linksaußen;links;IFM;;01.07.2022;30.06.2026;;Kosovo;;8;1;15;21;;5;;0;;;22;2,14;-;4;-;17;5;1;-;-;-;-;617'
