league_country,scraping_time,link,no,name,league,club,league_level,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Kroatien,20230420225502,https://www.transfermarkt.ch/stefan-ristovski/profil/spieler/104466,13,Stefan Ristovski,SuperSport HNL,Dinamo Zagreb,1.Liga,31,"1,80 m",Nordmazedonien,Rechter Verteidiger,rechts,Leonardo Corsi,Nike,02.02.2021,15.06.2024,Nordmazedonien,,77,2,"2,00 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"4,00 Mio. €",07.06.2019,72,70,,10,http://www.instagram.com/stefan_ristovski_13/,,,,23,"2,17",4,3,-,2,6,2,-,-,-,456',1.822'
Kroatien,20230420225517,https://www.transfermarkt.ch/josip-misic/profil/spieler/227035,27,Josip Misic,SuperSport HNL,Dinamo Zagreb,1.Liga,28,"1,87 m",Kroatien,Defensives Mittelfeld,rechts,MG MEDIATOR TRANSFER,,01.07.2021,30.06.2026,,Kroatien,2,0,"3,50 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"3,50 Mio. €",08.11.2022,90,90,,3,,,,,28,"2,32",2,-,-,2,4,2,1,-,-,1.172',2.344'
Kroatien,20230420225536,https://www.transfermarkt.ch/marko-bulat/profil/spieler/491039,31,Marko Bulat,SuperSport HNL,Dinamo Zagreb,1.Liga,21,"1,78 m",Kroatien,Defensives Mittelfeld,rechts,Familienangehörige,,11.02.2021,30.06.2027,Kroatien U21,,3,0,"2,50 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"3,00 Mio. €",10.06.2021,14,19,,3,,,,,14,"2,36",-,2,-,10,3,-,-,-,-,-,494'
Kroatien,20230420225552,https://www.transfermarkt.ch/fran-tomek/profil/spieler/502692,,Fran Tomek,SuperSport HNL,Dinamo Zagreb,1.Liga,20,,Kroatien,Defensives Mittelfeld,,Marjan Sisic,,01.07.2022,30.06.2028,,Kroatien U20,1,0,300 Tsd. €Letzte Änderung: 08.11.2022,Tsd. €,Letzte Änderung: 08.11.2022,350 Tsd. €,30.12.2021,0,0,,0,,,,,1,"0,00",-,-,-,1,-,1,-,-,-,-,3'
Kroatien,20230420225613,https://www.transfermarkt.ch/luka-ivanusec/profil/spieler/387105,7,Luka Ivanusec,SuperSport HNL,Dinamo Zagreb,1.Liga,24,"1,75 m",Kroatien,Offensives Mittelfeld,rechts,TTMA,,19.08.2019,15.06.2026,Kroatien,,12,1,"10,00 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"13,50 Mio. €",28.05.2021,76,76,,17,http://www.instagram.com/lukaivanusec/,,,,26,"2,38",8,4,-,4,8,3,-,-,-,247',1.977'
Kroatien,20230420225630,https://www.transfermarkt.ch/martin-baturina/profil/spieler/580451,10,Martin Baturina,SuperSport HNL,Dinamo Zagreb,1.Liga,20,"1,72 m",Kroatien,Offensives Mittelfeld,rechts,VPA Sports,,01.07.2021,15.06.2028,Kroatien U21,,8,0,"6,50 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"6,50 Mio. €",08.11.2022,76,72,,20,,,,,27,"2,30",5,9,-,5,10,2,-,-,-,374',1.871'
Kroatien,20230420225648,https://www.transfermarkt.ch/dario-spikic/profil/spieler/403290,77,Dario Spikic,SuperSport HNL,Dinamo Zagreb,1.Liga,24,"1,83 m",Kroatien,Linksaußen,rechts,VPA Sports,Nike,04.02.2021,30.06.2027,,Kroatien U21,10,2,"3,00 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"3,00 Mio. €",08.11.2022,90,76,,14,http://instagram.com/dariospikic?igshid=1qbrl5n0dyozk,,,,28,"2,25",5,5,-,2,20,-,-,-,-,396',1.979'
Kroatien,20230420225701,https://www.transfermarkt.ch/petar-bockaj/profil/spieler/292666,12,Petar Bockaj,SuperSport HNL,Dinamo Zagreb,1.Liga,26,"1,79 m",Kroatien,Linksaußen,links,Damir Jozic,adidas,18.01.2022,18.01.2027,,Kroatien U21,3,1,"2,50 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"2,50 Mio. €",30.12.2021,52,46,,12,,,,,18,"2,11",2,6,-,3,8,2,-,-,-,605',1.210'
Kroatien,20230420225716,https://www.transfermarkt.ch/luka-menalo/profil/spieler/316047,70,Luka Menalo,SuperSport HNL,Dinamo Zagreb,1.Liga,26,"1,81 m",Bosnien-Herzegowina,Linksaußen,rechts,Pharos Sport Agency,,06.07.2018,15.06.2026,Bosnien,,13,3,"2,00 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"2,50 Mio. €",30.12.2021,14,20,,7,http://instagram.com/lukamenalo,,,,17,"2,29",2,3,-,13,3,1,-,-,-,263',525'
Kroatien,20230420225732,https://www.transfermarkt.ch/gabrijel-rukavina/profil/spieler/743567,41,Gabrijel Rukavina,SuperSport HNL,Dinamo Zagreb,1.Liga,19,"1,80 m",Kroatien,Linksaußen,rechts,Niagara Sports Company,,01.07.2022,18.01.2028,Kroatien U19,,8,0,800 Tsd. €Letzte Änderung: 08.11.2022,Tsd. €,Letzte Änderung: 08.11.2022,800 Tsd. €,08.11.2022,0,1,,0,,,,,4,"3,00",-,-,-,4,-,-,-,-,-,-,36'
Kroatien,20230420225748,https://www.transfermarkt.ch/bruno-petkovic/profil/spieler/256358,9,Bruno Petkovic,SuperSport HNL,Dinamo Zagreb,1.Liga,28,"1,93 m",Kroatien,Mittelstürmer,rechts,Ivan Cvjetkovic,,21.01.2019,30.06.2024,Kroatien,,29,7,"6,00 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"13,50 Mio. €",27.12.2019,45,52,,23,http://www.instagram.com/brunopetkovicofficial/,,,,23,"2,26",9,7,-,10,9,1,-,-,4,149',1.343'
