league_country,scraping_time,link,no,name,league,club,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Griechenland,20230420225748,https://www.transfermarkt.ch/angelos-ikonomou/profil/spieler/161202,6,Angelos Ikonomou,Super League 2,Panserraikos,2.Liga,27,"1,70 m",Griechenland,Zentrales Mittelfeld,rechts,ohne Berater,,01.07.2022,30.06.2023,,Griechenld. U19,2,0,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,27.06.2022,,,,,,KreuzbandverletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Griechenland,20230420225807,https://www.transfermarkt.ch/alexandros-vergonis/profil/spieler/18923,,Alexandros Vergonis,,Karriereende,Veria NPS,37,"1,88 m",Griechenland,Zentrales Mittelfeld,links,,,01.07.2021,-,,,,,,,,400 Tsd. €,10.05.2015,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420225839,https://www.transfermarkt.ch/di-giovanni-nouma-oum/profil/spieler/395931,,Di Giovanni Nouma Oum,N3 - Bourg.-Fr.-Comté,FC Montceau B.,5.Liga,26,"1,90 m",Frankreich,Zentrales Mittelfeld,rechts,,,01.02.2022,-,,,,,,,,50 Tsd. €,06.10.2020,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420225910,https://www.transfermarkt.ch/alexandros-karagiannis/profil/spieler/234135,,Alexandros Karagiannis,,FS Kozani,29,"1,73 m",Griechenland,Offensives Mittelfeld,links,KICK OFF SPORT MANAGEMENT,,09.09.2021,30.06.2023,,,,,,,,300 Tsd. €,20.04.2017,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420225956,https://www.transfermarkt.ch/stelios-pozoglou/profil/spieler/292621,,Stelios Pozoglou,,Kampaniakos,27,"1,74 m",Griechenland,Linksaußen,rechts,cts,,16.01.2023,30.06.2023,,Griechenld. U19,10,2,,,,350 Tsd. €,27.09.2015,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230036,https://www.transfermarkt.ch/savvas-mourgos/profil/spieler/340323,21,Savvas Mourgos,Super League 2,Panserraikos,2.Liga,25,"1,73 m",Griechenland,Rechtsaußen,links,DRANGOLD AGENCY,,05.07.2022,30.06.2024,,Griechenld. U19,4,0,400 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,400 Tsd. €,27.02.2023,78,75,,19,http://www.instagram.com/savvasmourgos/,,,,,,,,,,,,,,,,
Griechenland,20230420230051,https://www.transfermarkt.ch/konstantinos-apostolopoulos/profil/spieler/252437,10,Konstantinos Apostolopoulos,,Eolikos,29,"1,73 m",Griechenland,Rechtsaußen,rechts,,,06.08.2021,30.06.2023,,,,,,,,350 Tsd. €,20.04.2017,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230140,https://www.transfermarkt.ch/giannis-loukinas/profil/spieler/105817,25,Giannis Loukinas,Super League 2,Kallithea,2.Liga,31,"1,85 m",Griechenland,Mittelstürmer,rechts,SG Agency,,04.07.2022,30.06.2024,,Griechenld. U19,2,0,350 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,500 Tsd. €,27.09.2015,72,66,,29,,,,,,,,,,,,,,,,,
Griechenland,20230420230158,https://www.transfermarkt.ch/giannis-pasas/profil/spieler/130149,21,Giannis Pasas,Super League 2,PS Kalamata,2.Liga,32,"1,84 m",Griechenland,Mittelstürmer,links,Elite Players Management,,05.07.2022,30.06.2024,,,,,350 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,400 Tsd. €,21.12.2016,63,57,,28,,,,,,,,,,,,,,,,,
Griechenland,20230420230224,https://www.transfermarkt.ch/alberto-simoni/profil/spieler/567479,9,Alberto Simoni,Super League 2,Makedonikos,2.Liga,26,"1,82 m",Albanien,Mittelstürmer,rechts,Zafi Agent,,09.08.2022,30.06.2023,,,,,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,125 Tsd. €,27.02.2023,79,72,,24,,Gelbsperre - Super League 2bis 25.04.2023,,,17,"1,24",4,1,-,2,11,4,1,-,-,309',1.236'
