league_country,scraping_time,link,no,name,league,club,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Griechenland,20230421000719,https://www.transfermarkt.ch/gennadios-xenodochof/profil/spieler/57479,,Gennadios Xenodochof,,Vereinslos,01.07.2022,34,"1,93 m",Griechenland,Torwart,rechts,,,01.07.2022,-,,,,,150 Tsd. €Letzte Änderung: 27.06.2022,Tsd. €,Letzte Änderung: 27.06.2022,300 Tsd. €,21.12.2016,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421000744,https://www.transfermarkt.ch/georgios-ladas/profil/spieler/743007,1,Georgios Ladas,Super League 2,PS Kalamata,2.Liga,23,"1,87 m",Griechenland,Torwart,,THE LEGION AGENCY,,01.01.2022,30.06.2023,,,,,75 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,75 Tsd. €,28.06.2021,0,0,0,,,,,,,,,,,,,,,,,,
Griechenland,20230421000807,https://www.transfermarkt.ch/achilleas-konstantinou/profil/spieler/806490,,Achilleas Konstantinou,,Olymp. Volou,22,"1,84 m",Griechenland,Torwart,rechts,,,31.01.2023,30.06.2023,,,,,,,,25 Tsd. €,28.12.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421000853,https://www.transfermarkt.ch/giannis-zachos/profil/spieler/689124,,Giannis Zachos,,Vereinslos,01.07.2020,20,,Griechenland,Torwart,,,,01.07.2020,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421000932,https://www.transfermarkt.ch/igor-filipovic/profil/spieler/187607,,Igor Filipovic,,Vereinslos,01.07.2022,31,"1,88 m",Serbien,Innenverteidiger,rechts,ohne Berater,,01.07.2022,-,,,,,150 Tsd. €Letzte Änderung: 27.06.2022,Tsd. €,Letzte Änderung: 27.06.2022,250 Tsd. €,28.06.2021,,,,,,unbekannte VerletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Griechenland,20230421000954,https://www.transfermarkt.ch/michalis-giannitsis/profil/spieler/187800,13,Michalis Giannitsis,Super League 2,Iraklis Larisas,2.Liga,31,"1,89 m",Griechenland,Innenverteidiger,rechts,ohne Berater,,20.01.2023,30.06.2023,,,,,175 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,350 Tsd. €,10.02.2013,67,64,,0,,,,,,,,,,,,,,,,,
Griechenland,20230421001016,https://www.transfermarkt.ch/jerome-guihoata/profil/spieler/283566,14,Jérôme Guihoata,2. Division,Omon. Aradippou,2.Liga,28,"1,87 m",Kamerun,Innenverteidiger,rechts,,,19.01.2023,-,,Kamerun,12,0,,,,750 Tsd. €,22.05.2018,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001040,https://www.transfermarkt.ch/christos-cholevas/profil/spieler/232875,,Christos Cholevas,,AS Agia Anna,31,"1,87 m",Griechenland,Innenverteidiger,rechts,,,11.09.2021,-,,,,,,,,100 Tsd. €,11.11.2014,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001128,https://www.transfermarkt.ch/georgios-papakostas/profil/spieler/799114,,Georgios Papakostas,,AO Trikala,24,,Griechenland,Innenverteidiger,,,,27.07.2022,30.06.2023,,,,,,,,125 Tsd. €,28.12.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001219,https://www.transfermarkt.ch/stephane-nkoa/profil/spieler/905223,,Stephane Nkoa,,Asteras Iteas,22,"1,82 m",Kamerun,Innenverteidiger,,,,01.01.2022,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001313,https://www.transfermarkt.ch/nikolaos-boutzikos/profil/spieler/46459,,Nikolaos Boutzikos,,Kampaniakos,33,"1,74 m",Griechenland,Linker Verteidiger,links,,,08.08.2022,30.06.2023,,Griechenland U21,1,0,,,,300 Tsd. €,26.04.2018,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001355,https://www.transfermarkt.ch/panagiotis-tsagalidis/profil/spieler/537956,24,Panagiotis Tsagalidis,Super League 2,Apollon Pontou,2.Liga,22,,Griechenland,Linker Verteidiger,links,,,27.01.2023,30.06.2023,,Griechenl. U18,6,0,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,150 Tsd. €,27.06.2022,28,28,,0,,,,,,,,,,,,,,,,,
Griechenland,20230421001416,https://www.transfermarkt.ch/thomas-grekos/profil/spieler/118057,,Thomas Grekos,,Vereinslos,18.10.2022,32,"1,72 m",Griechenland,Rechter Verteidiger,rechts,,,18.10.2022,-,,,,,125 Tsd. €Letzte Änderung: 27.06.2022,Tsd. €,Letzte Änderung: 27.06.2022,250 Tsd. €,04.07.2009,,,,,,unbekannte VerletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Griechenland,20230421001439,https://www.transfermarkt.ch/petros-pelkas/profil/spieler/726487,,Petros Pelkas,,MA Orfaniou,20,,Griechenland,Rechter Verteidiger,rechts,,,13.01.2023,30.06.2023,,,,,,,,50 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001529,https://www.transfermarkt.ch/konstantinos-vlachos/profil/spieler/586690,,Konstantinos Vlachos,,Nestos,23,,Griechenland,Rechter Verteidiger,rechts,,,31.10.2022,30.06.2023,,,,,,,,25 Tsd. €,11.06.2019,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001619,https://www.transfermarkt.ch/klevis-kola/profil/spieler/671290,8,Klevis Kola,,Olymp. Volou,30,,Albanien,Defensives Mittelfeld,,,,01.01.2018,30.06.2023,,,,,,,,125 Tsd. €,28.12.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001710,https://www.transfermarkt.ch/timoleon-patronis/profil/spieler/687402,,Timoleon Patronis,,Vereinslos,31.03.2023,22,"1,84 m",Griechenland,Defensives Mittelfeld,,,,31.03.2023,-,,,,,25 Tsd. €Letzte Änderung: 28.06.2021,Tsd. €,Letzte Änderung: 28.06.2021,25 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001735,https://www.transfermarkt.ch/stathis-rokas/profil/spieler/24810,,Stathis Rokas,,Rigas Fereos,38,"1,81 m",Griechenland,Defensives Mittelfeld,links,,,07.08.2021,-,,Griechenland U21,0,0,,,,750 Tsd. €,18.02.2009,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001817,https://www.transfermarkt.ch/stathis-vasiloudis/profil/spieler/415918,23,Stathis Vasiloudis,Super League 2,Kallithea,2.Liga,27,"1,80 m",Griechenland,Zentrales Mittelfeld,rechts,,,06.09.2021,30.06.2023,,Griechenland U21,4,0,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,22.05.2018,39,43,,0,,,,,,,,,,,,,,,,,
Griechenland,20230421001833,https://www.transfermarkt.ch/franco-colela/profil/spieler/422394,,Franco Colela,,Vereinslos,01.01.2023,27,"1,76 m",Argentinien,Zentrales Mittelfeld,links,The WINNER TEAM,,01.01.2023,-,,,,,,,,250 Tsd. €,08.08.2016,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001903,https://www.transfermarkt.ch/christos-agrodimos/profil/spieler/256780,,Christos Agrodimos,,Ik. Tsaritsanis,28,"1,76 m",Griechenland,Zentrales Mittelfeld,rechts,,,28.10.2022,30.06.2023,,,,,,,,200 Tsd. €,26.04.2018,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421001951,https://www.transfermarkt.ch/filippos-skopelitis/profil/spieler/331220,17,Filippos Skopelitis,,Olymp. Volou,28,"1,74 m",Griechenland,Offensives Mittelfeld,,,,28.07.2018,30.06.2023,,,,,,,,150 Tsd. €,07.06.2015,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002041,https://www.transfermarkt.ch/german-herrera/profil/spieler/441272,19,Germán Herrera,Super League 2,Apollon Smyrnis,2.Liga,30,"1,71 m",Argentinien,Offensives Mittelfeld,links,KICK OFF SPORT MANAGEMENT,,07.09.2022,30.06.2023,,,,,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,125 Tsd. €,27.02.2023,11,30,,4,,,,,,,,,,,,,,,,,
Griechenland,20230421002106,https://www.transfermarkt.ch/christos-katsoukis/profil/spieler/416478,10,Christos Katsoukis,Super League 2,Veria NPS,2.Liga,23,"1,78 m",Griechenland,Offensives Mittelfeld,,THE LEGION AGENCY,,22.08.2022,30.06.2023,,Griechenland U17,12,0,100 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,100 Tsd. €,27.06.2022,0,7,,5,,,,,10,"1,00",-,1,-,10,-,-,-,-,-,-,124'
Griechenland,20230421002126,https://www.transfermarkt.ch/gerasimos-voukelatos/profil/spieler/393230,98,Gerasimos Voukelatos,Super League 2,AO Episkopi,2.Liga,25,"1,81 m",Griechenland,Linksaußen,links,THE LEGION AGENCY,,23.08.2022,30.06.2023,,Griechenld. U19,4,0,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,175 Tsd. €,28.12.2021,67,64,,14,,Gelbsperre - Super League 2bis 24.04.2023,,,,,,,,,,,,,,,
Griechenland,20230421002140,https://www.transfermarkt.ch/georgios-niklitsiotis/profil/spieler/77484,,Georgios Niklitsiotis,,PO Fikis,32,"1,80 m",Griechenland,Linksaußen,rechts,ohne Berater,,03.08.2022,30.06.2023,,Griechenld. U19,7,0,,,,250 Tsd. €,21.01.2009,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002219,https://www.transfermarkt.ch/iasonas-papadimitriou/profil/spieler/269865,,Iasonas Papadimitriou,,AS Agia Anna,28,"1,87 m",Griechenland,Mittelstürmer,beidfüßig,,,23.08.2021,-,,,,,,,,200 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002306,https://www.transfermarkt.ch/stefan-djuric/profil/spieler/217671,,Stefan Djuric,,Vereinslos,01.07.2022,27,"1,93 m",Serbien,Mittelstürmer,rechts,,,01.07.2022,-,,,,,125 Tsd. €Letzte Änderung: 28.06.2021,Tsd. €,Letzte Änderung: 28.06.2021,125 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002335,https://www.transfermarkt.ch/nikolaos-beikos/profil/spieler/613100,,Nikolaos Beikos,,Dimitra Efxin.,24,,Griechenland,Mittelstürmer,,,,04.10.2021,-,,,,,,,,25 Tsd. €,11.06.2019,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002430,https://www.transfermarkt.ch/stefanos-polyzos/profil/spieler/330274,,Stefanos Polyzos,,AO Ypatou,27,"1,81 m",Griechenland,Mittelfeld,rechts,,,27.07.2022,30.06.2023,,,,,,,,200 Tsd. €,26.04.2018,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002516,https://www.transfermarkt.ch/giannis-petrou/profil/spieler/904089,,Giannis Petrou,,Unbekannt,AS Santorinis,21,,Griechenland,Mittelfeld,,,,25.01.2022,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002555,https://www.transfermarkt.ch/giannis-dermitzakis/profil/spieler/213762,,Giannis Dermitzakis,,Ermis Zonianon,30,"1,93 m",Griechenland,Torwart,rechts,soccer1 Management Consulting,,29.09.2022,30.06.2023,,,,,,,,200 Tsd. €,20.04.2017,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002641,https://www.transfermarkt.ch/panagiotis-dounis/profil/spieler/280644,,Panagiotis Dounis,,AE Mykonou,26,"1,84 m",Griechenland,Torwart,rechts,Dzpremiersports,,24.07.2022,30.06.2023,,Griechenland U21,1,0,,,,100 Tsd. €,21.06.2016,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002720,https://www.transfermarkt.ch/konstantinos-andriolas/profil/spieler/16359,,Konstantinos Andriolas,,Karriereende,01.07.2021,37,"1,90 m",Griechenland,Torwart,rechts,,,01.07.2021,-,,Griechenland U21,6,0,,,,400 Tsd. €,09.09.2007,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002746,https://www.transfermarkt.ch/nikolaos-pantidos/profil/spieler/67704,,Nikolaos Pantidos,,AE Moschatou,32,"1,86 m",Griechenland,Innenverteidiger,rechts,KRD Football Management,,26.01.2023,30.06.2023,,Griechenland U17,2,0,,,,500 Tsd. €,11.11.2014,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002825,https://www.transfermarkt.ch/grigoris-papazacharias/profil/spieler/17217,,Grigoris Papazacharias,,Anag.Epanomis,38,"1,86 m",Griechenland,Innenverteidiger,rechts,,,22.08.2021,-,,Griechenland U21,6,0,,,,"1,25 Mio. €",16.02.2009,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002907,https://www.transfermarkt.ch/alexandros-papatzikos/profil/spieler/191276,,Alexandros Papatzikos,,Fostiras,35,"1,86 m",Griechenland,Innenverteidiger,rechts,,,20.01.2023,30.06.2023,,,,,,,,250 Tsd. €,20.04.2017,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421002953,https://www.transfermarkt.ch/ervin-birbili/profil/spieler/373323,,Ervin Birbili,,AS Santorinis,38,"1,80 m",Albanien,Innenverteidiger,rechts,,,01.07.2020,-,,,,,,,,25 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003041,https://www.transfermarkt.ch/stathis-karabelas/profil/spieler/598852,,Stathis Karabelas,,Eth. Giannitson,23,"1,85 m",Griechenland,Innenverteidiger,links,,,16.09.2022,30.06.2023,,,,,,,,125 Tsd. €,27.06.2022,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003129,https://www.transfermarkt.ch/fotis-logothetis/profil/spieler/695709,,Fotis Logothetis,,AS Santorinis,21,"1,89 m",Griechenland,Innenverteidiger,beidfüßig,,,06.09.2020,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003220,https://www.transfermarkt.ch/nikolaos-kourellas/profil/spieler/234793,,Nikolaos Kourellas,,Thermaikos,29,"1,73 m",Griechenland,Linker Verteidiger,links,ohne Berater,,23.10.2022,30.06.2023,,,,,,,,300 Tsd. €,21.09.2012,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003306,https://www.transfermarkt.ch/spyros-kostopoulos/profil/spieler/880533,27,Spyros Kostopoulos,Super League 2,GS Ilioupolis,2.Liga,22,,Griechenland,Rechter Verteidiger,,KICK OFF SPORT MANAGEMENT,,01.07.2021,30.06.2023,,,,,50 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,50 Tsd. €,27.02.2023,32,31,,0,,,,,,,,,,,,,,,,,
Griechenland,20230421003332,https://www.transfermarkt.ch/david-ivanidis/profil/spieler/293020,,David Ivanidis,,Vyron Kavalas,33,"1,75 m",Griechenland,Defensives Mittelfeld,rechts,,,26.08.2022,30.06.2023,,,,,,,,150 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003418,https://www.transfermarkt.ch/stathis-lamprou/profil/spieler/342168,,Stathis Lamprou,,AE Moschatou,24,"1,77 m",Griechenland,Defensives Mittelfeld,rechts,,,25.01.2023,30.06.2023,,Griechenland U21,1,0,,,,150 Tsd. €,21.12.2016,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003457,https://www.transfermarkt.ch/panagiotis-simitsis/profil/spieler/257579,,Panagiotis Simitsis,,AS Santorinis,29,"1,80 m",Griechenland,Defensives Mittelfeld,links,,,01.07.2020,-,,,,,,,,125 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003545,https://www.transfermarkt.ch/konstantinos-malaj/profil/spieler/613498,,Konstantinos Malaj,,Ethn. Piräus,23,,Griechenland,Defensives Mittelfeld,,KING AGENCY,,03.01.2023,30.06.2023,,,,,,,,100 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003635,https://www.transfermarkt.ch/georgios-bountopoulos/profil/spieler/176860,,Georgios Bountopoulos,,Vyzas Megaron,32,"1,72 m",Griechenland,Offensives Mittelfeld,rechts,,,09.09.2022,30.06.2023,,,,,,,,350 Tsd. €,20.04.2017,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003723,https://www.transfermarkt.ch/vangelis-karaboikis/profil/spieler/572880,21,Vangelis Karaboikis,Super League 2,Thesprotos,2.Liga,21,"1,81 m",Griechenland,Offensives Mittelfeld,rechts,,,01.02.2023,30.06.2023,,,,,,,,10 Tsd. €,28.06.2021,29,27,,0,,,,,,,,,,,,,,,,,
Griechenland,20230421003753,https://www.transfermarkt.ch/markos-fytros/profil/spieler/132924,,Markos Fytros,,Agia Paraskevi,36,"1,76 m",Griechenland,Offensives Mittelfeld,rechts,,,12.01.2023,30.06.2023,,,,,,,,50 Tsd. €,14.07.2011,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003841,https://www.transfermarkt.ch/giannis-diniotakis/profil/spieler/194620,,Giannis Diniotakis,,Eolikos,28,"1,79 m",Griechenland,Linksaußen,beidfüßig,,,31.01.2023,30.06.2023,,Griechenland U17,0,0,,,,150 Tsd. €,21.09.2012,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421003923,https://www.transfermarkt.ch/periklis-minas/profil/spieler/381624,12,Periklis Minas,,Agios Nikolaos,32,"1,80 m",Griechenland,Linksaußen,rechts,Dzpremiersports,,01.09.2021,30.06.2023,,,,,,,,100 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004006,https://www.transfermarkt.ch/theodoros-pournaras/profil/spieler/481684,,Theodoros Pournaras,,Thermaikos,22,"1,75 m",Griechenland,Linksaußen,rechts,,,01.08.2021,30.06.2023,,Griechenl. U18,6,1,,,,25 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004048,https://www.transfermarkt.ch/thomas-papadopoulos/profil/spieler/470757,,Thomas Papadopoulos,,AE Mykonou,27,"1,74 m",Griechenland,Linksaußen,,SIS Agency,,02.01.2023,30.06.2023,,,,,,,,200 Tsd. €,26.04.2018,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004136,https://www.transfermarkt.ch/konstantinos-errikos/profil/spieler/139563,,Konstantinos Errikos,,AS Santorinis,31,"1,74 m",Griechenland,Rechtsaußen,rechts,,,01.07.2020,-,,,,,,,,150 Tsd. €,11.07.2011,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004224,https://www.transfermarkt.ch/athanasios-kanoulas/profil/spieler/187914,,Athanasios Kanoulas,,FS Kozani,31,"1,89 m",Griechenland,Mittelstürmer,rechts,,,31.10.2022,30.06.2023,,Griechenld. U19,2,0,,,,250 Tsd. €,26.04.2018,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004305,https://www.transfermarkt.ch/alexandros-perogamvrakis/profil/spieler/129983,,Alexandros Perogamvrakis,,AS Rouvas,35,"1,76 m",Griechenland,Mittelstürmer,rechts,,,07.07.2022,30.06.2023,,,,,,,,600 Tsd. €,11.11.2014,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004353,https://www.transfermarkt.ch/dimitrios-gioukoudis/profil/spieler/616824,27,Dimitrios Gioukoudis,Super League 2,Veria NPS,2.Liga,25,"1,85 m",Griechenland,Mittelstürmer,rechts,Zafi Agent,,02.01.2023,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,200 Tsd. €,27.06.2022,84,82,,27,,,,,,,,,,,,,,,,,
Griechenland,20230421004416,https://www.transfermarkt.ch/georgios-skatharoudis/profil/spieler/164504,,Georgios Skatharoudis,,Vereinslos,31.01.2023,30,"1,82 m",Griechenland,Mittelstürmer,rechts,Footballplanet,,31.01.2023,-,,,,,,,,100 Tsd. €,21.09.2012,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004449,https://www.transfermarkt.ch/georgios-dimizas/profil/spieler/333430,,Georgios Dimizas,,Ellas Pontion,28,"1,87 m",Griechenland,Torwart,links,ELITE SPORTS DEVELOPMENT,,10.01.2023,30.06.2023,,,,,,,,150 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004533,https://www.transfermarkt.ch/manolis-kalogerakis/profil/spieler/239749,21,Manolis Kalogerakis,Super League 2,PAE Chania,2.Liga,31,"1,85 m",Griechenland,Torwart,links,SG Agency,,01.01.2023,30.06.2024,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,200 Tsd. €,11.06.2019,83,83,50,,,,,,,,,,,,,,,,,,
Griechenland,20230421004556,https://www.transfermarkt.ch/nikolaos-voutselas/profil/spieler/395625,,Nikolaos Voutselas,,GS Marko,24,"1,89 m",Griechenland,Torwart,rechts,sports-deal,,03.08.2022,30.06.2023,,Griechenl. U18,4,0,,,,75 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004635,https://www.transfermarkt.ch/giannis-maniadakis/profil/spieler/803895,1,Giannis Maniadakis,,Unbekannt,AO Episkopi,23,"1,85 m",Griechenland,Torwart,rechts,ohne Berater,,01.01.2022,-,,,,,,,,10 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004704,https://www.transfermarkt.ch/georgios-giannoutsos/profil/spieler/342172,94,Georgios Giannoutsos,2. Division,Pegia 2014,2.Liga,24,"1,83 m",Griechenland,Innenverteidiger,links,WoS,Nike,23.08.2022,-,,Griechenland U21,4,0,,,,250 Tsd. €,28.06.2021,100,100,,0,,,,,,,,,,,,,,,,,
Griechenland,20230421004727,https://www.transfermarkt.ch/giannis-andreou/profil/spieler/342905,55,Giannis Andreou,Super League 2,GS Ilioupolis,2.Liga,25,"1,92 m",Griechenland,Innenverteidiger,links,KICK OFF SPORT MANAGEMENT,,20.08.2022,30.06.2023,,Griechenld. U19,0,0,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,200 Tsd. €,28.06.2021,42,46,,5,,,,,,,,,,,,,,,,,
Griechenland,20230421004743,https://www.transfermarkt.ch/dimitrios-gianniotis/profil/spieler/586564,,Dimitrios Gianniotis,,Tilykratis,24,"1,93 m",Griechenland,Innenverteidiger,,El. Sports Agency,,21.07.2022,30.06.2023,,,,,,,,200 Tsd. €,08.03.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004830,https://www.transfermarkt.ch/sebastian-chrusciel/profil/spieler/342016,5,Sebastian Chrusciel,Super League 2,Iraklis,2.Liga,25,"1,90 m",Polen,Innenverteidiger,beidfüßig,SG Agency,,16.08.2021,30.06.2023,,Polen U20,6,0,150 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,150 Tsd. €,11.06.2019,94,91,,3,,,,,,,,,,,,,,,,,
Griechenland,20230421004845,https://www.transfermarkt.ch/franko-lamce/profil/spieler/598150,4,Franko Lamce,Abissnet Superiore,FK Kukësi,1.Liga,24,"1,84 m",Albanien,Innenverteidiger,links,THE LEGION AGENCY,,12.01.2023,30.06.2026,,,,,200 Tsd. €Letzte Änderung: 27.06.2022,Tsd. €,Letzte Änderung: 27.06.2022,200 Tsd. €,27.06.2022,57,55,,8,,,,,,,,,,,,,,,,,
Griechenland,20230421004908,https://www.transfermarkt.ch/konstantinos-lima/profil/spieler/213895,,Konstantinos Lima,,Panionios,29,"1,82 m",Griechenland,Linker Verteidiger,links,SG Agency,,05.01.2023,30.06.2023,,,,,,,,125 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421004953,https://www.transfermarkt.ch/panagiotis-panagiotidis/profil/spieler/403089,22,Panagiotis Panagiotidis,Super League 2,Niki Volou,2.Liga,24,"1,84 m",Griechenland,Linker Verteidiger,links,KICK OFF SPORT MANAGEMENT,,31.07.2021,30.06.2024,,,,,250 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,27.06.2022,72,64,,12,,,,,,,,,,,,,,,,,
Griechenland,20230421005014,https://www.transfermarkt.ch/iosif-tsiledakis/profil/spieler/877589,34,Iosif Tsiledakis,Super League 2,AO Episkopi,2.Liga,18,"1,83 m",Griechenland,Linker Verteidiger,links,,,25.07.2022,30.06.2023,,,,,25 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,25 Tsd. €,28.06.2021,11,19,,0,,,,,,,,,,,,,,,,,
Griechenland,20230421005038,https://www.transfermarkt.ch/ilias-karagiannis/profil/spieler/295637,,Ilias Karagiannis,,Anthoupoli,31,"1,75 m",Griechenland,Rechter Verteidiger,rechts,,,01.01.2023,30.06.2023,,,,,,,,150 Tsd. €,20.04.2017,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421005126,https://www.transfermarkt.ch/vlasis-andrikopoulos/profil/spieler/533080,35,Vlasis Andrikopoulos,Super League 2,Panathinaikos B,2.Liga,23,"1,83 m",Griechenland,Rechter Verteidiger,rechts,ELITE SPORTS DEVELOPMENT,,08.08.2022,30.06.2023,,,,,250 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,27.06.2022,21,25,,7,,,,,8,"1,25",1,1,-,4,3,3,-,-,-,422',422'
Griechenland,20230421005148,https://www.transfermarkt.ch/dimitrios-polychronis/profil/spieler/319394,26,Dimitrios Polychronis,Super League 2,AO Egaleo,2.Liga,29,"1,80 m",Griechenland,Defensives Mittelfeld,rechts,ELITE SPORTS DEVELOPMENT,,16.08.2022,30.06.2023,,,,,250 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,27.06.2022,68,68,,6,,,,,17,"1,12",-,1,-,4,9,2,-,-,-,-,1.167'
Griechenland,20230421005209,https://www.transfermarkt.ch/lucas-guedes/profil/spieler/302925,,Lucas Guedes,,AS Rodos,26,"1,81 m",Brasilien,Zentrales Mittelfeld,links,,,21.02.2023,30.06.2023,,,,,,,,50 Tsd. €,14.02.2014,,,,,,unbekannte VerletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Griechenland,20230421005253,https://www.transfermarkt.ch/panagiotis-anyfantakis/profil/spieler/452378,,Panagiotis Anyfantakis,,Doxa Platane,24,"1,85 m",Griechenland,Zentrales Mittelfeld,links,,,27.10.2022,30.06.2023,,,,,,,,25 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421005341,https://www.transfermarkt.ch/tiago-nani/profil/spieler/613517,11,Tiago Nani,,GAS Ialysos,25,"1,75 m",Portugal,Rechtes Mittelfeld,rechts,Innova Sports Management,,28.09.2022,30.06.2023,,,,,,,,175 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230421005427,https://www.transfermarkt.ch/dimitrios-soubasakis/profil/spieler/284919,,Dimitrios Soubasakis,,Doxa Platane,34,"1,74 m",Griechenland,Offensives Mittelfeld,rechts,,,09.08.2022,30.06.2023,,,,,,,,100 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
