league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Schweiz;20230422161850;https://www.transfermarkt.ch/bendeguz-bolla/profil/spieler/439351;77;Bendegúz Bolla;Super League;Grasshoppers;1.Liga;2,70 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;3,00 Mio. €;08.06.2022;23;1,79 m;Ungarn;Rechter Verteidiger;rechts;EM Sports Consulting;;18.07.2021;30.06.2023;;Ungarn;;10;0;89;87;;15;http://www.instagram.com/bolla_bendi/;0;;;26;1,31;2;4;-;1;5;5;-;-;-;1.098';2.195'
Schweiz;20230422161912;https://www.transfermarkt.ch/teruki-hara/profil/spieler/470130;34;Teruki Hara;Super League;Grasshoppers;1.Liga;650 Tsd. €Letzte Änderung: 06.01.2023;Tsd. €;Letzte Änderung: 06.01.2023;700 Tsd. €;14.01.2022;24;1,80 m;Japan;Rechter Verteidiger;rechts;HEROE;;16.01.2023;31.01.2024;;;Japan;1;0;8;20;;0;;0;;;6;0,83;-;-;-;5;1;-;-;-;-;-;208'
Schweiz;20230422161931;https://www.transfermarkt.ch/nadjack/profil/spieler/315970;25;Nadjack;Super League;Grasshoppers;1.Liga;200 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;700 Tsd. €;11.01.2019;29;1,84 m;Guinea-Bissau;Rechter Verteidiger;rechts;Gestifute;;29.08.2020;30.06.2023;;;Guinea-Bissau;7;0;11;10;;0;;0;;;5;1,00;-;-;-;2;3;1;-;-;-;-;259'
Schweiz;20230422161946;https://www.transfermarkt.ch/amir-abrashi/profil/spieler/66005;6;Amir Abrashi;Super League;Grasshoppers;1.Liga;300 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;2,50 Mio. €;01.06.2016;33;1,72 m;Albanien;Defensives Mittelfeld;rechts;ESHA;;01.07.2021;30.06.2024;;Albanien;;50;1;61;52;;0;http://www.instagram.com/amirabrashi/;0;;;20;1,50;-;-;-;3;14;5;-;-;-;-;1.305'
Schweiz;20230422162000;https://www.transfermarkt.ch/hayao-kawabe/profil/spieler/262489;40;Hayao Kawabe;Super League;Grasshoppers;1.Liga;2,00 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;2,00 Mio. €;10.11.2022;27;1,78 m;Japan;Zentrales Mittelfeld;rechts;JEB ENTERTAINMENT Co.,Ltd.;;20.01.2022;30.06.2023;;;Japan;4;1;89;86;;34;http://www.instagram.com/hayao.8_official/;0;;;25;1,20;8;6;-;-;13;4;-;-;-;272';2.175'
Schweiz;20230422162020;https://www.transfermarkt.ch/christian-herc/profil/spieler/365765;28;Christian Herc;Super League;Grasshoppers;1.Liga;1,10 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;1,90 Mio. €;08.06.2022;24;1,85 m;Slowakei;Zentrales Mittelfeld;rechts;PAVLOVIC SPORTS;;01.07.2021;30.06.2023;Slowakei;;;4;0;46;53;;15;;0;;;26;1,27;3;3;-;13;8;5;-;-;-;449';1.348'
Schweiz;20230422162038;https://www.transfermarkt.ch/tsiy-william-ndenge/profil/spieler/253574;7;Tsiy William Ndenge;Super League;Grasshoppers;1.Liga;900 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;1,00 Mio. €;04.06.2019;25;1,88 m;Kamerun;Zentrales Mittelfeld;links;FAIRSPORT ASSOCIATION;;01.07.2022;30.06.2025;;;Kamerun;0;0;64;61;;10;;0;;;21;1,14;3;1;-;3;6;3;-;-;-;510';1.531'
Schweiz;20230422162100;https://www.transfermarkt.ch/dominik-schmid/profil/spieler/359409;31;Dominik Schmid;Super League;Grasshoppers;1.Liga;2,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;2,00 Mio. €;28.03.2023;25;1,82 m;Schweiz;Linkes Mittelfeld;links;ESHA;;07.08.2020;30.06.2024;;Schweiz;;0;0;96;91;;2;http://www.instagram.com/dominikschmid31/;0;;;27;1,26;-;1;-;-;5;4;-;-;-;-;2.286'
Schweiz;20230422162115;https://www.transfermarkt.ch/petar-pusic/profil/spieler/390169;10;Petar Pusic;Super League;Grasshoppers;1.Liga;600 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;2,00 Mio. €;12.07.2018;24;1,69 m;Schweiz;Offensives Mittelfeld;links;SBE Management AG;Nike;01.02.2017;30.06.2023;;;Schweiz U21;16;2;29;39;;12;http://www.instagram.com/petii_10/;0;;;27;1,26;2;3;-;19;7;3;-;-;-;495';989'
Schweiz;20230422162131;https://www.transfermarkt.ch/dion-kacuri/profil/spieler/659352;17;Dion Kacuri;Super League;Grasshoppers;1.Liga;300 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;300 Tsd. €;28.03.2023;19;1,90 m;Schweiz;Offensives Mittelfeld;links;sportsfamilyoffice;Puma;12.01.2022;30.06.2025;Schweiz U19;;;2;0;7;7;;2;;0;;;8;1,25;1;-;-;6;2;-;-;-;-;167';167'
Schweiz;20230422162143;https://www.transfermarkt.ch/meritan-shabani/profil/spieler/379980;23;Meritan Shabani;Super League;Grasshoppers;1.Liga;300 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;350 Tsd. €;05.07.2018;24;1,85 m;Deutschland;Offensives Mittelfeld;rechts;EMG Mundial;;09.07.2022;30.06.2024;;;Deutschland U20;2;0;32;27;;5;http://www.instagram.com/meritanshabani10/;0;;;21;1,14;2;-;-;12;8;2;-;1;-;342';683'
Schweiz;20230422162201;https://www.transfermarkt.ch/filipe-de-carvalho-ferreira/profil/spieler/659353;57;Filipe de Carvalho Ferreira;Super League;Grasshoppers;1.Liga;400 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;400 Tsd. €;08.06.2022;19;1,76 m;Schweiz;Linksaußen;;Best of You;;24.01.2021;30.06.2025;Schweiz U20;;;3;0;11;16;;2;;0;;;16;0,81;1;-;-;13;2;-;-;-;-;401';401'
Schweiz;20230422162217;https://www.transfermarkt.ch/leonardo-uka/profil/spieler/500761;56;Leonardo Uka;Super League;Grasshoppers;1.Liga;100 Tsd. €Letzte Änderung: 08.06.2022;Tsd. €;Letzte Änderung: 08.06.2022;100 Tsd. €;08.06.2022;22;1,84 m;Kosovo;Linksaußen;links;sportsfamilyoffice;;12.01.2022;30.06.2023;;;Kosovo U19;2;0;;;;;;0;;;;;;;;;;;;;;;
Schweiz;20230422162233;https://www.transfermarkt.ch/giotto-morandi/profil/spieler/413461;8;Giotto Morandi;Super League;Grasshoppers;1.Liga;1,10 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;1,20 Mio. €;10.11.2022;24;1,81 m;Schweiz;Hängende Spitze;;Sport 11 AG;;01.07.2019;30.06.2025;;;Schweiz U18;3;0;54;55;;15;;0;;;26;1,19;1;5;-;11;13;2;-;-;1;1.382';1.382'
Schweiz;20230422162252;https://www.transfermarkt.ch/renat-dadashov/profil/spieler/335461;27;Renat Dadashov;Super League;Grasshoppers;1.Liga;1,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;1,00 Mio. €;28.03.2023;23;1,87 m;Aserbaidschan;Mittelstürmer;rechts;Universal Twenty Two;;09.07.2022;30.06.2024;;Aserbaidschan;;21;1;68;69;;22;http://instagram.com/renat_dada/;0;;;26;1,15;7;2;-;7;15;9;-;-;2;248';1.734'
