league_country;scraping_time;link;no;name;league;club;image;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Griechenland;20230515230327;https://www.transfermarkt.ch/christos-talichmanidis/profil/spieler/540058;64;Christos Talichmanidis;Super League 1;PAOK Saloniki;https://img.a.transfermarkt.technology/portrait/header/540058-1613846682.jpg?lm=1;1.Liga;200 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;250 Tsd. €;27.06.2022;22;1,87 m;Griechenland;Torwart;rechts;DRANGOLD AGENCY;;01.07.2020;30.06.2023;Griechenland U21;;;1;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Griechenland;20230515230347;https://www.transfermarkt.ch/konstantinos-balomenos/profil/spieler/567492;54;Konstantinos Balomenos;Super League 2;PAOK Saloniki B;;2.Liga;125 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;125 Tsd. €;27.02.2023;21;1,87 m;Griechenland;Torwart;rechts;Prosport ...;;01.07.2021;30.06.2025;;Griechenland U21;;2;0;48;48;0;;;0;;;;;;;;;;;;;;;
Griechenland;20230515230407;https://www.transfermarkt.ch/dimitrios-monastirlis/profil/spieler/733581;41;Dimitrios Monastirlis;Super League 2;PAOK Saloniki B;;2.Liga;50 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;50 Tsd. €;27.02.2023;19;1,92 m;Griechenland;Torwart;rechts;CAA Base Ltd;;01.07.2022;-;;Griechenld. U19;;6;0;22;22;0;;;0;;;;;;;;;;;;;;;
Griechenland;20230515230427;https://www.transfermarkt.ch/alexandros-tsioptsis/profil/spieler/814531;48;Alexandros Tsioptsis;Super League 2;PAOK Saloniki B;;2.Liga;;;;;;19;1,93 m;Griechenland;Torwart;;SG Agency;;01.07.2021;30.06.2024;;;;;;0;0;0;;;0;;;;;;;;;;;;;;;
Griechenland;20230515230505;https://www.transfermarkt.ch/giannis-michailidis/profil/spieler/464528;5;Giannis Michailidis;Super League 1;PAOK Saloniki;https://img.a.transfermarkt.technology/portrait/header/464528-1613846766.jpg?lm=1;1.Liga;2,00 Mio. €Letzte Änderung: 27.02.2023;Mio. €;Letzte Änderung: 27.02.2023;4,00 Mio. €;22.02.2022;23;1,88 m;Griechenland;Innenverteidiger;links;ROGON;;01.07.2019;30.06.2025;;;Griechenland;2;0;0;0;;0;;0;;;-;-;-;-;-;-;-;-;-;-;-;-;-
Griechenland;20230515230525;https://www.transfermarkt.ch/panagiotis-panagiotou/profil/spieler/554394;76;Panagiotis Panagiotou;Super League 2;PAOK Saloniki B;;2.Liga;400 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;400 Tsd. €;27.06.2022;21;1,84 m;Griechenland;Innenverteidiger;rechts;SPORTS ACTION;;01.07.2021;31.12.2024;;Griechenland U21;;3;0;39;39;;2;;0;;;;;;;;;;;;;;;
Griechenland;20230515230543;https://www.transfermarkt.ch/raul-morichelli/profil/spieler/628560;44;Raul Morichelli;Super League 2;PAOK Saloniki B;https://img.a.transfermarkt.technology/portrait/header/628560-1639063920.jpg?lm=1;2.Liga;250 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;250 Tsd. €;23.06.2022;20;1,93 m;Italien;Innenverteidiger;rechts;BSM;;27.07.2022;30.06.2026;;;;;;57;57;;0;http://www.instagram.com/raulmorichelli/;0;;;14;1,93;-;-;-;1;2;5;-;-;-;-;1.174'
Griechenland;20230515230606;https://www.transfermarkt.ch/ermis-selimaj/profil/spieler/1035994;75;Ermis Selimaj;Super League 2;PAOK Saloniki B;;2.Liga;25 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;25 Tsd. €;27.02.2023;18;1,73 m;Albanien;Linker Verteidiger;links;Rosko Company;;01.07.2022;30.06.2025;;;;;;22;15;;2;;0;;;;;;;;;;;;;;;
Griechenland;20230515230632;https://www.transfermarkt.ch/alexandros-apostolopoulos/profil/spieler/188588;25;Alexandros Apostolopoulos;Super League 2;PAOK Saloniki B;;2.Liga;100 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;550 Tsd. €;10.02.2013;31;1,73 m;Griechenland;Rechter Verteidiger;rechts;BELLATORsports;;01.07.2021;-;;;Griechenland U21;9;0;;;;;;0;;;;;;;;;;;;;;;
Griechenland;20230515230650;https://www.transfermarkt.ch/lefteris-tasiouras/profil/spieler/735366;57;Lefteris Tasiouras;Super League 2;PAOK Saloniki B;;2.Liga;100 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;100 Tsd. €;27.02.2023;19;1,73 m;Griechenland;Rechter Verteidiger;rechts;PURE;;01.07.2022;31.12.2024;;Griechenld. U19;;9;0;48;49;;6;;0;;;;;;;;;;;;;;;
Griechenland;20230515230709;https://www.transfermarkt.ch/vasilios-kitsakis/profil/spieler/628326;87;Vasilios Kitsakis;Super League 2;PAOK Saloniki B;;2.Liga;50 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;50 Tsd. €;27.02.2023;20;1,75 m;Griechenland;Rechter Verteidiger;rechts;SEG;;01.07.2022;30.06.2024;;;Griechenld. U19;2;0;43;39;;0;;0;;;;;;;;;;;;;;;
Griechenland;20230515230728;https://www.transfermarkt.ch/nikoloz-ninua/profil/spieler/345194;32;Nikoloz Ninua;Super League 2;PAOK Saloniki B;https://img.a.transfermarkt.technology/portrait/header/345194-1635696472.png?lm=1;2.Liga;350 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;1,00 Mio. €;04.01.2020;23;1,86 m;Georgien;Defensives Mittelfeld;links;;;01.07.2022;30.06.2024;;;Georgien;0;0;43;39;;4;;0;;;15;2,27;-;2;-;5;8;5;-;-;-;-;813'
Griechenland;20230515230806;https://www.transfermarkt.ch/ismahila-ouedraogo/profil/spieler/878247;62;Ismahila Ouédraogo;Super League 2;PAOK Saloniki B;https://img.a.transfermarkt.technology/portrait/header/878247-1646819030.png?lm=1;2.Liga;300 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;300 Tsd. €;28.12.2021;23;1,69 m;Burkina Faso;Defensives Mittelfeld;;ASM International;;01.08.2021;30.06.2025;Burkina Faso;;;15;0;65;64;;0;;0;;;16;1,75;-;-;-;1;1;6;-;-;-;-;1.330'
Griechenland;20230515230829;https://www.transfermarkt.ch/kyriakos-giaxis/profil/spieler/505925;38;Kyriakos Giaxis;Super League 2;PAOK Saloniki B;;2.Liga;150 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;150 Tsd. €;27.06.2022;22;1,85 m;Griechenland;Defensives Mittelfeld;;;;01.07.2021;30.06.2024;;;Griechenld. U19;1;0;39;43;;4;;0;;;;;;;;;;;;;;;
Griechenland;20230515230855;https://www.transfermarkt.ch/dimitrios-kottas/profil/spieler/914857;90;Dimitrios Kottas;Super League 2;PAOK Saloniki B;;2.Liga;50 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;50 Tsd. €;27.02.2023;18;1,90 m;Griechenland;Defensives Mittelfeld;;;;01.07.2022;-;;Griechenld. U19;;6;0;52;54;;0;;0;;;;;;;;;;;;;;;
Griechenland;20230515230922;https://www.transfermarkt.ch/bandar-derwish-w-ahmed/profil/spieler/986423;39;Bandar Derwish W Ahmed;Super League 2;PAOK Saloniki B;;2.Liga;10 Tsd. €Letzte Änderung: 14.06.2022;Tsd. €;Letzte Änderung: 14.06.2022;10 Tsd. €;14.06.2022;21;;Saudi-Arabien;Defensives Mittelfeld;;;;29.09.2022;-;;;;;;0;0;;0;;0;;;;;;;;;;;;;;;
Griechenland;20230515230955;https://www.transfermarkt.ch/achilleas-salamouras/profil/spieler/464533;61;Achilleas Salamouras;Super League 2;PAOK Saloniki B;;2.Liga;200 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;250 Tsd. €;27.06.2022;23;1,75 m;Griechenland;Zentrales Mittelfeld;rechts;LA Football ...;;01.07.2021;30.06.2023;;;;;;4;5;;0;;0;;;;;;;;;;;;;;;
Griechenland;20230515231020;https://www.transfermarkt.ch/dimitrios-tsopouroglou/profil/spieler/591797;34;Dimitrios Tsopouroglou;Super League 2;PAOK Saloniki B;;2.Liga;125 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;150 Tsd. €;27.06.2022;20;1,75 m;Griechenland;Zentrales Mittelfeld;rechts;Sports Genius Agency;;01.07.2021;30.06.2025;;;;;;39;45;;0;;0;;;;;;;;;;;;;;;
Griechenland;20230515231044;https://www.transfermarkt.ch/vasilios-grosdis/profil/spieler/451672;74;Vasilios Grosdis;Super League 2;PAOK Saloniki B;;2.Liga;125 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;125 Tsd. €;27.02.2023;21;1,81 m;Griechenland;Zentrales Mittelfeld;links;DRANGOLD AGENCY;;01.07.2021;30.06.2023;;;Griechenland U17;9;0;39;42;;4;;0;;;;;;;;;;;;;;;
