league_country,scraping_time,link,no,name,league,club,league_level,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Deutschland,20230421095329,https://www.transfermarkt.ch/julian-riedel/profil/spieler/82112,3,Julian Riedel,3. Liga,Waldh. Mannheim,3.Liga,31,"1,82 m",Deutschland,Innenverteidiger,beidfüßig,ROOF,,01.07.2022,30.06.2024,,,,,250 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,500 Tsd. €,06.10.2016,91,88,,2,,,,,29,"1,66",-,1,2,-,2,3,1,-,-,-,2.535'
Deutschland,20230421095352,https://www.transfermarkt.ch/marcel-seegert/profil/spieler/119572,5,Marcel Seegert,3. Liga,Waldh. Mannheim,3.Liga,28,"1,86 m",Deutschland,Innenverteidiger,beidfüßig,,,03.01.2019,30.06.2024,,Deutschland U17,1,0,250 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,300 Tsd. €,22.01.2018,88,88,,2,,,,,29,"1,66",-,1,1,1,-,5,1,-,-,-,2.547'
Deutschland,20230421095410,https://www.transfermarkt.ch/gerrit-gohlke/profil/spieler/480710,27,Gerrit Gohlke,3. Liga,Waldh. Mannheim,3.Liga,24,"1,92 m",Deutschland,Innenverteidiger,beidfüßig,Sportmanagement M³,,30.01.2020,30.06.2023,,,,,175 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,250 Tsd. €,26.03.2021,22,17,,2,,SchulterverletzungRückkehr unbekannt,,,7,"1,43",1,-,-,-,2,1,1,-,-,478',478'
Deutschland,20230421095429,https://www.transfermarkt.ch/malte-karbstein/profil/spieler/327631,15,Malte Karbstein,3. Liga,Waldh. Mannheim,3.Liga,25,"1,90 m",Deutschland,Innenverteidiger,links,Karl M. Herzog Sportmanagement,,15.07.2022,30.06.2024,,,,,150 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,175 Tsd. €,30.06.2021,22,22,,0,,AdduktorenbeschwerdenRückkehr unbekannt,,,10,"1,50",-,-,-,3,2,1,-,-,-,-,620'
Deutschland,20230421095451,https://www.transfermarkt.ch/alexander-rossipal/profil/spieler/296188,21,Alexander Rossipal,3. Liga,Waldh. Mannheim,3.Liga,26,"1,84 m",Deutschland,Linker Verteidiger,links,Unique Sports Group,adidas,27.07.2021,30.06.2023,,Deutschland U18,2,0,275 Tsd. €Letzte Änderung: 30.03.2023,Tsd. €,Letzte Änderung: 30.03.2023,275 Tsd. €,30.03.2023,88,85,,17,,,,,28,"1,71",2,7,-,-,4,3,-,-,1,1.222',2.444'
Deutschland,20230421095504,https://www.transfermarkt.ch/luca-bolay/profil/spieler/594664,25,Luca Bolay,3. Liga,Waldh. Mannheim,3.Liga,20,"1,73 m",Deutschland,Linker Verteidiger,links,Lokurlu,,01.01.2023,30.06.2024,,,,,100 Tsd. €Letzte Änderung: 30.11.2022,Tsd. €,Letzte Änderung: 30.11.2022,100 Tsd. €,30.11.2022,0,0,,0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
Deutschland,20230421095525,https://www.transfermarkt.ch/laurent-jans/profil/spieler/163724,18,Laurent Jans,3. Liga,Waldh. Mannheim,3.Liga,30,"1,75 m",Luxemburg,Rechter Verteidiger,rechts,ROOF,adidas,19.08.2022,30.06.2024,Luxemburg,,88,1,350 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,"1,20 Mio. €",21.01.2017,96,95,,14,http://www.instagram.com/janslaurent/,,,,27,"1,74",1,5,-,-,3,3,-,-,-,2.404',2.404'
Deutschland,20230421095539,https://www.transfermarkt.ch/niklas-wilson-sommer/profil/spieler/288073,2,Niklas-Wilson Sommer,3. Liga,Waldh. Mannheim,3.Liga,25,"1,79 m",Deutschland,Rechter Verteidiger,rechts,Teamgeist Sportmanagement GmbH,,05.07.2021,30.06.2023,,Deutschland U16,5,0,250 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,275 Tsd. €,30.12.2021,6,13,,0,http://instagram.com/niklas.wilson/,,,,13,"1,77",-,-,-,11,1,2,-,-,-,-,383'
Deutschland,20230421095554,https://www.transfermarkt.ch/johannes-dorfler/profil/spieler/329324,16,Johannes Dörfler,3. Liga,Waldh. Mannheim,3.Liga,26,"1,86 m",Deutschland,Rechter Verteidiger,rechts,Beckster Int.,,01.07.2022,30.06.2023,,,,,250 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,550 Tsd. €,16.06.2021,0,2,,0,http://www.instagram.com/j_doerfler_/,,,,2,"1,50",-,-,-,2,-,-,-,-,-,-,46'
Deutschland,20230421095615,https://www.transfermarkt.ch/marco-hoger/profil/spieler/55510,37,Marco Höger,3. Liga,Waldh. Mannheim,3.Liga,33,"1,82 m",Deutschland,Defensives Mittelfeld,rechts,B360 Sports Agency,Nike,11.08.2021,30.06.2023,,,,,275 Tsd. €Letzte Änderung: 30.03.2023,Tsd. €,Letzte Änderung: 30.03.2023,"6,00 Mio. €",30.06.2013,22,18,,0,http://www.instagram.com/marco_hoeger/,KreuzbandrissRückkehr unbekannt,,,7,"1,43",-,-,-,-,2,1,-,1,-,-,532'
