4222673.839,0.647606264,0.442963154,{'PositionCategory', 'Injury', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'Consultancy', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'}
4230469.907,0.646303856,0.441128855,{'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'Consultancy', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'},
5469182.833,0.642719319,-0.128170079,{'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Consultancy', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'},,
4698482.062,0.675664756,0.454990691,{'PositionCategory', 'Trending', 'Games', 'NationalLeagueLevel', 'Club', 'Nationality', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'Consultancy', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'}
4145360.968,0.660392078,0.519000798,{'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'},,
4224727.5729769245,0.6472634007726991,0.47805591933885094,{'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'Consultancy', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'}
4317896.4455643,0.6315338891796662,0.4762431880863729,{'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'Consultancy', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'}
4145360.9681436657,0.660392077649597,0.519000797995255,{'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'}
4197092.73008818,0.6518629585183161,0.5067431982462535,{'ContractUntil', 'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'}
4145360.9681436657,0.660392077649597,0.519000797995255,{'PositionCategory', 'Trending', 'Nationality', 'NationalLeagueLevel', 'Club', 'InternationalGames', 'League', 'Age', 'InternationalTeam', 'ActiveInternational', 'Supplier', 'InternationalGoals', 'ClubSince', 'FormerInternational', 'Position', 'LeagueCountry'}
