3525961.3132125037,0.55709649232742,0.04983948354002066,{'Age', 'Games', 'Club', 'LeagueCountry', 'Cards', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'ClubSince', 'Minutes', 'Ins', 'TwPenaltySavesQuote', 'Goals', 'InternationalTeam', 'InternationalGames', 'League', 'PointsPerGame', 'TwCleanSheets', 'TwGoalsConceded', 'FormerInternational'}
3525961.3132125037,0.55709649232742,0.04983948354002066,{'Age', 'Games', 'Club', 'LeagueCountry', 'Cards', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'ClubSince', 'Minutes', 'Ins', 'TwPenaltySavesQuote', 'Goals', 'InternationalTeam', 'InternationalGames', 'League', 'PointsPerGame', 'TwCleanSheets', 'TwGoalsConceded', 'FormerInternational'}
3525961.3132125037,0.55709649232742,0.04983948354002066,{'Age', 'Games', 'Club', 'LeagueCountry', 'Cards', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'ClubSince', 'Minutes', 'Ins', 'TwPenaltySavesQuote', 'Goals', 'InternationalTeam', 'InternationalGames', 'League', 'PointsPerGame', 'TwCleanSheets', 'TwGoalsConceded', 'FormerInternational'}
3525961.3132125037,0.55709649232742,0.04983948354002066,{'Age', 'Games', 'Club', 'LeagueCountry', 'Cards', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'ClubSince', 'Minutes', 'Ins', 'TwPenaltySavesQuote', 'Goals', 'InternationalTeam', 'InternationalGames', 'League', 'PointsPerGame', 'TwCleanSheets', 'TwGoalsConceded', 'FormerInternational'}
3598375.613492634,0.5387174523422891,0.01879729269419117,{'Age', 'Games', 'Club', 'LeagueCountry', 'Cards', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'ClubSince', 'Minutes', 'TwPenaltySavesQuote', 'Goals', 'InternationalTeam', 'InternationalGames', 'League', 'PointsPerGame', 'TwCleanSheets', 'TwGoalsConceded', 'FormerInternational'}
3525961.3132125037,0.55709649232742,0.04983948354002066,{'Age', 'Games', 'Club', 'LeagueCountry', 'Cards', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'ClubSince', 'Minutes', 'Ins', 'TwPenaltySavesQuote', 'Goals', 'InternationalTeam', 'InternationalGames', 'League', 'PointsPerGame', 'TwCleanSheets', 'TwGoalsConceded', 'FormerInternational'}
3566758.2180175525,0.5467880264929611,0.03596436143841719,{'InternationalTeam', 'Club', 'NationalLeagueLevel', 'Ins', 'Age', 'TwPenaltySavesQuote', 'Cards', 'Trending', 'InternationalGames', 'ActiveInternational', 'ClubSince', 'League', 'LeagueCountry', 'FormerInternational', 'Games', 'PointsPerGame', 'TwCleanSheets', 'Minutes', 'TwGoalsConceded'}
3643391.3897087816,0.5271039469790836,0.002546980602940896,{'FormerInternational', 'Games', 'PointsPerGame', 'TwCleanSheets', 'Cards', 'Age', 'InternationalTeam', 'Minutes', 'Trending', 'InternationalGames', 'TwGoalsConceded', 'TwPenaltySavesQuote', 'Club', 'ActiveInternational', 'ClubSince', 'League', 'NationalLeagueLevel', 'LeagueCountry'}
