LeagueCountry;League;LeagueLevel;Club;No;Name;Value;ValueLastUpdate;HighestValue;HighestValueDate;ValueCurrency;Age;Height;Nationality;Foot;Position;Consultancy;Supplier;ClubSince;ContractUntil;Injury;International;ActiveInternational;FormerInternational;InternationalGames;InternationalGoals;StartingElevenQuote;MinutesQuote;TwPenaltySavesQuote;FsGoalParticipationQuote;Games;PointsPerGame;Goals;OwnGoals;Ins;Outs;YellowCards;YellowRedCards;RedCards;Minutes;TwGoalsConceded;TwCleanSheets;FsAssists;FsPenaltyGoals;FsMinutesPerGoal;Instagram;Source;ScrapingTime
Schweiz;Super League;1.Liga;BSC Young Boys;21.0;Ulisses Garcia;2000000.0;2023-03-28;3000000.0;2022-01-03;€;27;183.0;Schweiz;links;Linker Verteidiger;Soccer Mondial AG;Nike;2018-07-01;2024-06-30;0;;;Schweiz;4.0;0.0;61.0;57.0;;11.0;19;2.00;1;0;2;5;4;0;1;1439;;;6;0.0;1439;http://www.instagram.com/ulissesgarcia20/;https://www.transfermarkt.ch/ulisses-garcia/profil/spieler/192616;20230422140902
Schweiz;Super League;1.Liga;BSC Young Boys;23.0;Loris Benito;800000.0;2022-11-10;4000000.0;2019-06-04;€;31;184.0;Schweiz;links;Linker Verteidiger;SBE Management AG;;2022-07-04;2025-06-30;1;;;Schweiz;13.0;1.0;32.0;32.0;;5.0;14;2.21;0;0;5;3;0;0;0;815;;;3;0.0;;http://www.instagram.com/lorisbenito/;https://www.transfermarkt.ch/loris-benito/profil/spieler/119085;20230422140913
Österreich;Bundesliga;1.Liga;RB Salzburg;41.0;Jonas Krumrey;300000.0;2022-11-17;300000.0;2021-12-01;€;19;193.0;Deutschland;rechts;Torwart;Familienangehörige;Nike;2023-01-01;2024-05-31;0;;;Deutschland U16;0.0;0.0;;;;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/jonas-krumrey/profil/spieler/531637;20230422140629
Österreich;2. Liga;2.Liga;FC Liefering;32.0;Balázs Tóth;125000.0;2022-11-17;125000.0;2022-11-17;€;18;187.0;Ungarn;links;Torwart;Perfootmance GmbH;;2021-07-01;2024-06-30;0;Ungarn U19;;;0.0;0.0;8.0;8.0;0.0;;2;1.50;0;0;0;0;0;0;0;180;5;0;;;;;https://www.transfermarkt.ch/balazs-toth/profil/spieler/648900;20230422140644
Österreich;2. Liga;2.Liga;FC Liefering;30.0;Salko Hamzic;75000.0;2023-01-10;75000.0;2023-01-10;€;16;;Bosnien-Herzegowina;;Torwart;;;2023-01-01;;0;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/salko-hamzic/profil/spieler/948133;20230422140702
Österreich;2. Liga;2.Liga;FC Liefering;31.0;Valentin Oelz;75000.0;2022-11-17;75000.0;2022-07-02;€;17;192.0;Österreich;;Torwart;Berater bekannt - Spieler unter 18;;2022-07-01;;0;;Österreich U18;;3.0;0.0;0.0;0.0;0.0;;0;;0;0;0;0;0;0;0;;0;0;;;;;https://www.transfermarkt.ch/valentin-oelz/profil/spieler/694561;20230422140732
Österreich;Bundesliga;1.Liga;RB Salzburg;6.0;Samson Baidoo;1000000.0;2022-11-10;1000000.0;2022-11-10;€;19;187.0;Österreich;rechts;Innenverteidiger;HAGMAYR Sportmanagement;;2022-07-01;2027-06-30;0;;Österreich U21;;4.0;0.0;0.0;0.0;;0.0;1;3.00;0;0;1;0;0;0;0;3;;;0;0.0;;;https://www.transfermarkt.ch/samson-baidoo/profil/spieler/655217;20230422140749
Österreich;2. Liga;2.Liga;FC Liefering;4.0;Lukas Wallner;500000.0;2022-11-17;500000.0;2022-05-25;€;19;;Österreich;links;Innenverteidiger;More than Sport GmbH;;2020-08-01;2025-06-30;0;Österreich U21;;;2.0;0.0;54.0;57.0;;5.0;17;1.41;0;0;4;3;3;0;0;1240;;;2;0.0;;;https://www.transfermarkt.ch/lukas-wallner/profil/spieler/548026;20230422140810
Österreich;2. Liga;2.Liga;FC Liefering;19.0;Marcel Moswitzer;300000.0;2022-11-17;300000.0;2022-09-20;€;18;;Österreich;;Innenverteidiger;Soccertalk GmbH;;2022-07-01;;0;;Österreich U18;;6.0;1.0;42.0;43.0;;2.0;15;0.93;1;0;5;3;3;0;0;930;;;0;0.0;930;;https://www.transfermarkt.ch/marcel-moswitzer/profil/spieler/804031;20230422140833
Österreich;2. Liga;2.Liga;FC Liefering;51.0;Rocco Zikovic;300000.0;2023-01-10;300000.0;2023-01-10;€;18;186.0;Kroatien;rechts;Innenverteidiger;VPA Sports;;2023-01-01;2027-06-30;0;;;Kroatien U19;0.0;0.0;0.0;8.0;;0.0;3;0.00;0;0;3;0;0;0;0;75;;;0;0.0;;;https://www.transfermarkt.ch/rocco-zikovic/profil/spieler/853084;20230422140855
Österreich;2. Liga;2.Liga;FC Liefering;14.0;Douglas Mendes;200000.0;2022-11-14;200000.0;2022-08-05;€;18;189.0;Brasilien;rechts;Innenverteidiger;Ruan Casemiro;;2023-02-06;2023-06-30;0;Brasilien U20;;;0.0;0.0;13.0;13.0;;0.0;2;0.00;0;0;1;1;1;0;0;90;;;0;0.0;;;https://www.transfermarkt.ch/douglas-mendes/profil/spieler/921863;20230422140914
Portugal;Liga Portugal;1.Liga;Benfica;99.0;Odysseas Vlachodimos;16000000.0;2022-11-01;18000000.0;2021-01-28;€;28;191.0;Griechenland;rechts;Torwart;fair-sport GmbH;Uhlsport;2018-07-01;2027-06-30;0;;Griechenland;;31.0;0.0;100.0;100.0;0.0;;28;2.54;0;0;0;0;1;0;0;2520;17.0;17;;;;http://www.instagram.com/vlachod1mos/;https://www.transfermarkt.ch/odysseas-vlachodimos/profil/spieler/124419;20230422140625
Portugal;Liga Sabseg;2.Liga;Benfica B;24.0;Samuel Soares;2000000.0;2022-12-28;2000000.0;2022-11-01;€;20;190.0;Portugal;rechts;Torwart;Team of Future;;2021-07-01;2027-06-30;0;;Portugal U21;;5.0;0.0;64.0;64.0;0.0;;18;1.39;0;0;0;0;4;0;0;1620;30.0;4;;;;;https://www.transfermarkt.ch/samuel-soares/profil/spieler/504072;20230422140637
Portugal;Liga Sabseg;2.Liga;Benfica B;75.0;André Gomes;2000000.0;2023-03-02;2000000.0;2023-03-02;€;18;182.0;Portugal;links;Torwart;MDTM;;2023-01-01;2028-06-30;0;;Portugal U19;;12.0;0.0;71.0;71.0;0.0;;10;0.60;0;0;0;0;0;0;0;900;21.0;0;;;;;https://www.transfermarkt.ch/andre-gomes/profil/spieler/670710;20230422140655
Portugal;Liga Portugal;1.Liga;Benfica;66.0;António Silva;25000000.0;2023-03-02;25000000.0;2023-03-02;€;19;187.0;Portugal;rechts;Innenverteidiger;Gestifute;adidas;2022-07-01;2027-06-30;0;;Portugal;;3.0;0.0;89.0;89.0;;4.0;25;2.48;3;0;0;2;4;0;0;2245;;;0;0.0;748;http://www.instagram.com/antoniosilva.66/;https://www.transfermarkt.ch/antonio-silva/profil/spieler/650568;20230422140715
Portugal;Liga Portugal;1.Liga;Benfica;91.0;Morato;15000000.0;2022-11-01;15000000.0;2022-09-16;€;21;192.0;Brasilien;links;Innenverteidiger;Bertolucci Sports;;2021-07-01;2027-06-30;0;;;Brasilien U20;0.0;0.0;18.0;18.0;;1.0;6;3.00;1;0;1;0;1;0;0;465;;;0;0.0;465;http://www.instagram.com/morato/;https://www.transfermarkt.ch/morato/profil/spieler/673492;20230422140729
Portugal;Liga Portugal;1.Liga;Benfica;4.0;Lucas Veríssimo;8000000.0;2022-11-01;10000000.0;2021-12-27;€;27;188.0;Brasilien;rechts;Innenverteidiger;Wonder Sports;Puma;2021-01-31;2026-06-30;0;;;Brasilien;2.0;0.0;0.0;0.0;;0.0;2;3.00;0;0;2;0;0;0;0;9;;;0;0.0;;http://www.instagram.com/lucasverissimo_03/;https://www.transfermarkt.ch/lucas-verissimo/profil/spieler/411662;20230422140741
Portugal;Liga Portugal;1.Liga;Benfica;30.0;Nicolás Otamendi;3000000.0;2022-11-01;35000000.0;2018-01-02;€;35;183.0;Argentinien;rechts;Innenverteidiger;Gestifute;Nike;2020-09-29;2023-06-30;0;;Argentinien;;102.0;4.0;93.0;92.0;;0.0;26;2.50;0;0;0;1;7;1;0;2325;;;0;0.0;;http://www.instagram.com/nicolasotamendi30/?hl=it;https://www.transfermarkt.ch/nicolas-otamendi/profil/spieler/54781;20230422140750
Portugal;Liga Portugal;1.Liga;Benfica;3.0;Alejandro Grimaldo;25000000.0;2023-03-02;35000000.0;2019-12-30;€;27;171.0;Spanien;links;Linker Verteidiger;Wasserman;adidas;2016-01-01;2023-06-30;0;;;Spanien U21;2.0;0.0;96.0;96.0;;18.0;27;2.52;2;0;0;6;3;0;0;2413;;;10;0.0;1207;http://www.instagram.com/grimaldo35/;https://www.transfermarkt.ch/alejandro-grimaldo/profil/spieler/193082;20230422140802
Portugal;Liga Portugal;1.Liga;Benfica;23.0;Mihailo Ristić;3500000.0;2022-11-01;3500000.0;2022-03-23;€;27;180.0;Serbien;links;Linker Verteidiger;AC Talent;;2022-07-01;2026-06-30;0;Serbien;;;8.0;0.0;4.0;4.0;;3.0;6;3.00;1;0;5;0;0;0;0;106;;;1;0.0;106;http://www.instagram.com/risticmihailo24/;https://www.transfermarkt.ch/mihailo-risti%C4%87/profil/spieler/271455;20230422140815
Portugal;Liga Portugal;1.Liga;Benfica;6.0;Alexander Bah;8000000.0;2022-11-01;8000000.0;2022-11-01;€;25;183.0;Dänemark;rechts;Rechter Verteidiger;Elite Consulting;;2022-07-01;2027-06-30;1;;Dänemark;;8.0;1.0;71.0;70.0;;7.0;25;2.60;1;0;5;9;1;0;0;1765;;;4;0.0;1765;http://www.instagram.com/alexanderbah/;https://www.transfermarkt.ch/alexander-bah/profil/spieler/452607;20230422140834
Portugal;Liga Portugal;1.Liga;Benfica;2.0;Gilberto;6000000.0;2022-11-01;6000000.0;2022-09-16;€;30;181.0;Brasilien;rechts;Rechter Verteidiger;MFD Sports;;2020-08-08;2025-06-30;0;;;Brasilien U23;4.0;0.0;29.0;30.0;;6.0;18;2.50;2;0;10;7;2;0;0;746;;;2;0.0;373;;https://www.transfermarkt.ch/gilberto/profil/spieler/231614;20230422140850
Portugal;Liga Portugal;1.Liga;Benfica;61.0;Florentino;20000000.0;2023-03-02;20000000.0;2019-12-30;€;23;184.0;Portugal;rechts;Defensives Mittelfeld;Team of Future;adidas;2019-01-01;2027-06-30;0;;;Portugal U21;12.0;0.0;82.0;75.0;;4.0;27;2.63;0;0;4;11;5;0;0;1897;;;3;0.0;;http://www.instagram.com/florentino_luis61/;https://www.transfermarkt.ch/florentino/profil/spieler/357162;20230422140907
Portugal;Liga Portugal;1.Liga;Benfica;8.0;Fredrik Aursnes;16000000.0;2023-03-02;16000000.0;2023-03-02;€;27;179.0;Norwegen;rechts;Defensives Mittelfeld;Solbakken / Player Solution;;2022-08-24;2027-06-30;0;;Norwegen;;12.0;0.0;69.0;69.0;;6.0;22;2.41;1;0;4;4;5;0;0;1616;;;3;0.0;1616;http://www.instagram.com/fredrikaurs18/;https://www.transfermarkt.ch/fredrik-aursnes/profil/spieler/223367;20230422140922
Türkei;1.Lig;2.Liga;Samsunspor;29.0;Jakub Szumski;300000.0;2023-04-03;400000.0;2021-05-21;€;31;194.0;Polen;rechts;Torwart;Familienangehörige;;2022-07-01;2024-06-30;0;;;Polen U21;10.0;0.0;94.0;94.0;13.0;;31;2.13;0;0;0;0;2;0;0;2790;23;13;;;;http://www.instagram.com/szumskikuba/;https://www.transfermarkt.ch/jakub-szumski/profil/spieler/157848;20230422140630
Türkei;1.Lig;2.Liga;Samsunspor;1.0;Aykut Özer;100000.0;2023-04-03;525000.0;2021-03-16;€;30;187.0;Türkei;rechts;Torwart;Familienangehörige;;2021-07-14;2024-06-30;0;;;Türkei U21;6.0;0.0;0.0;0.0;0.0;;0;;0;0;0;0;0;0;0;;0;0;;;;http://www.instagram.com/aykutozer.93/;https://www.transfermarkt.ch/aykut-ozer/profil/spieler/117518;20230422140648
Türkei;1.Lig;2.Liga;Samsunspor;45.0;Halil Yeral;25000.0;2023-04-03;75000.0;2021-05-27;€;23;190.0;Türkei;rechts;Torwart;Öner Karalar;;2023-01-26;2025-06-30;0;;;Türkei U21;0.0;0.0;;;;;;;;;;;;;;;;;;;;http://www.instagram.com/halilyeral_/;https://www.transfermarkt.ch/halil-yeral/profil/spieler/511119;20230422140705
Türkei;1.Lig;2.Liga;Samsunspor;52.0;Ali Taha Demir;25000.0;2023-04-03;25000.0;2022-11-15;€;18;200.0;Türkei;rechts;Torwart;;;2022-07-01;2024-06-30;0;;;;;;0.0;0.0;0.0;;0;;0;0;0;0;0;0;0;;0;0;;;;http://www.instagram.com/alitahademirr/;https://www.transfermarkt.ch/ali-taha-demir/profil/spieler/924333;20230422140721
Türkei;1.Lig;2.Liga;Samsunspor;22.0;Yunus Emre Cift;750000.0;2023-04-03;750000.0;2023-04-03;€;19;185.0;Türkei;rechts;Innenverteidiger;;;2021-01-23;2027-06-30;0;Türkei U21;;;1.0;0.0;64.0;67.0;;2.0;25;2.36;1;0;4;1;4;0;0;1985;;;0;0.0;1985;http://instagram.com/yunusemrecift;https://www.transfermarkt.ch/yunus-emre-cift/profil/spieler/821622;20230422140743
Türkei;1.Lig;2.Liga;Samsunspor;5.0;Alim Öztürk;400000.0;2023-04-03;500000.0;2022-03-17;€;30;191.0;Türkei;rechts;Innenverteidiger;;;2022-07-01;2024-06-30;0;;;Türkei U21;4.0;0.0;88.0;84.0;;5.0;29;2.24;3;1;0;2;7;0;1;2502;;;0;0.0;834;http://www.instagram.com/alimozturk5/;https://www.transfermarkt.ch/alim-ozturk/profil/spieler/189186;20230422140758
Türkei;1.Lig;2.Liga;Samsunspor;55.0;Yusuf Abdioglu;300000.0;2023-04-03;650000.0;2020-10-12;€;33;181.0;Türkei;rechts;Innenverteidiger;B&B Sports Management;;2022-07-01;2024-06-30;0;;;;;;39.0;39.0;;5.0;18;2.00;2;0;5;4;4;0;1;1163;;;1;0.0;582;http://www.instagram.com/abdiogluyusuf/;https://www.transfermarkt.ch/yusuf-abdioglu/profil/spieler/199938;20230422140818
Türkei;1.Lig;2.Liga;Samsunspor;3.0;Elano Yegen;125000.0;2023-04-03;125000.0;2022-06-23;€;20;191.0;Niederlande;beidfüßig;Innenverteidiger;Iconics Management;;2023-02-01;2026-06-30;0;;;;;;0.0;0.0;;0.0;0;;0;0;0;0;0;0;0;;;;0;0.0;;http://www.instagram.com/elanoyegen/;https://www.transfermarkt.ch/elano-yegen/profil/spieler/811114;20230422140839
Türkei;1.Lig;2.Liga;Samsunspor;;Guy Serge Yameogo;100000.0;2023-04-03;300000.0;2020-12-30;€;22;184.0;Elfenbeinküste;rechts;Innenverteidiger;CSM Sport & Entertainment;;2020-08-19;2025-06-30;0;;;;;;0.0;3.0;;0.0;1;0.00;0;0;1;0;0;0;0;44;;;0;0.0;;http://www.instagram.com/guyserge24/;https://www.transfermarkt.ch/guy-serge-yameogo/profil/spieler/568436;20230422140859
Griechenland;Super League 1;1.Liga;PAOK Saloniki;64.0;Christos Talichmanidis;200000.0;2023-02-27;250000.0;2022-06-27;€;22;187.0;Griechenland;rechts;Torwart;DRANGOLD AGENCY;;2020-07-01;2023-06-30;0;Griechenland U21;;;1.0;0.0;0.0;0.0;0.0;;0;;0;0;0;0;0;0;0;;0;0;;;;;https://www.transfermarkt.ch/christos-talichmanidis/profil/spieler/540058;20230422140626
Griechenland;Super League 1;1.Liga;PAOK Saloniki;54.0;Konstantinos Balomenos;125000.0;2023-02-27;125000.0;2023-02-27;€;21;187.0;Griechenland;rechts;Torwart;Prosport International;;2022-07-01;2025-06-30;0;;Griechenland U21;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/konstantinos-balomenos/profil/spieler/567492;20230422140643
Griechenland;Super League 2;2.Liga;PAOK Saloniki B;41.0;Dimitrios Monastirlis;50000.0;2023-02-27;50000.0;2023-02-27;€;19;192.0;Griechenland;rechts;Torwart;CAA Base Ltd;;2022-07-01;;0;;Griechenld. U19;;6.0;0.0;26.0;26.0;0.0;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/dimitrios-monastirlis/profil/spieler/733581;20230422140658
Griechenland;Super League 2;2.Liga;PAOK Saloniki B;48.0;Alexandros Tsioptsis;;;;;;19;193.0;Griechenland;;Torwart;SG Agency;;2021-07-01;2024-06-30;0;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/alexandros-tsioptsis/profil/spieler/814531;20230422140715
Griechenland;Super League 1;1.Liga;PAOK Saloniki;5.0;Giannis Michailidis;2000000.0;2023-02-27;4000000.0;2022-02-22;€;23;188.0;Griechenland;links;Innenverteidiger;ROGON;;2019-07-01;2025-06-30;0;;;Griechenland;2.0;0.0;0.0;0.0;;0.0;0;;0;0;0;0;0;0;0;;;;0;0.0;;;https://www.transfermarkt.ch/giannis-michailidis/profil/spieler/464528;20230422140748
Griechenland;Super League 1;1.Liga;PAOK Saloniki;76.0;Panagiotis Panagiotou;400000.0;2023-02-27;400000.0;2022-06-27;€;21;184.0;Griechenland;rechts;Innenverteidiger;SPORTS ACTION;;2022-07-01;2024-12-31;0;;Griechenland U21;;3.0;0.0;0.0;0.0;;0.0;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/panagiotis-panagiotou/profil/spieler/554394;20230422140805
Griechenland;Super League 2;2.Liga;PAOK Saloniki B;44.0;Raul Morichelli;250000.0;2023-02-27;250000.0;2022-06-23;€;20;193.0;Italien;rechts;Innenverteidiger;BSM;;2022-07-27;2026-06-30;0;;;;;;63.0;63.0;;0.0;13;1.85;0;0;1;2;5;0;0;1084;;;0;0.0;;http://www.instagram.com/raulmorichelli/;https://www.transfermarkt.ch/raul-morichelli/profil/spieler/628560;20230422140822
Griechenland;Super League 2;2.Liga;PAOK Saloniki B;75.0;Ermis Selimaj;25000.0;2023-02-27;25000.0;2023-02-27;€;18;172.0;Albanien;links;Linker Verteidiger;Rosko Company;;2022-07-01;2025-06-30;0;;;;;;21.0;15.0;;3.0;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/ermis-selimaj/profil/spieler/1035994;20230422140841
Griechenland;Super League 2;2.Liga;PAOK Saloniki B;25.0;Alexandros Apostolopoulos;100000.0;2023-02-27;550000.0;2013-02-10;€;31;173.0;Griechenland;rechts;Rechter Verteidiger;BELLATORsports;;2021-07-01;;0;;;Griechenland U21;9.0;0.0;;;;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/alexandros-apostolopoulos/profil/spieler/188588;20230422140903
Griechenland;Super League 2;2.Liga;PAOK Saloniki B;57.0;Lefteris Tasiouras;100000.0;2023-02-27;100000.0;2023-02-27;€;19;173.0;Griechenland;rechts;Rechter Verteidiger;PURE;;2022-07-01;2024-12-31;0;;Griechenld. U19;;9.0;0.0;58.0;57.0;;9.0;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/lefteris-tasiouras/profil/spieler/735366;20230422140919
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;40.0;Dominik Livakovic;14000000.0;2022-12-23;15000000.0;2021-05-28;€;28;188.0;Kroatien;rechts;Torwart;CAA Stellar;;2015-08-31;2024-06-15;0;;Kroatien;;43.0;0.0;100.0;100.0;100.0;;29;2.28;0;0;0;0;1;0;0;2610;26;7;;;;http://www.instagram.com/dominiklivakovic40/;https://www.transfermarkt.ch/dominik-livakovic/profil/spieler/205927;20230422140627
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;33.0;Ivan Nevistic;1500000.0;2022-11-08;3000000.0;2020-12-28;€;24;195.0;Kroatien;rechts;Torwart;ohne Berater;Uhlsport;2021-01-28;2025-06-15;0;;;Kroatien U21;1.0;0.0;0.0;0.0;0.0;;0;;0;0;0;0;0;0;0;;0;0;;;;;https://www.transfermarkt.ch/ivan-nevistic/profil/spieler/293185;20230422140643
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;1.0;Danijel Zagorac;200000.0;2022-11-08;850000.0;2016-09-14;€;36;186.0;Kroatien;rechts;Torwart;MM Sports World;;2016-07-11;2026-06-30;0;;;;;;0.0;0.0;0.0;;0;;0;0;0;0;0;0;0;;0;0;;;;;https://www.transfermarkt.ch/danijel-zagorac/profil/spieler/131310;20230422140700
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;37.0;Josip Sutalo;18000000.0;2022-11-08;18000000.0;2022-11-08;€;23;188.0;Kroatien;rechts;Innenverteidiger;MN Sport;;2020-01-07;2028-06-15;0;;Kroatien;;6.0;0.0;66.0;63.0;;3.0;20;2.35;2;0;1;2;4;0;0;1646;;;0;0.0;823;;https://www.transfermarkt.ch/josip-sutalo/profil/spieler/371001;20230422140722
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;55.0;Dino Peric;5000000.0;2022-11-08;6000000.0;2019-12-27;€;28;197.0;Kroatien;links;Innenverteidiger;MG MEDIATOR TRANSFER;;2017-07-07;2026-06-15;0;;;Kroatien;2.0;0.0;66.0;65.0;;4.0;20;2.30;2;0;1;3;2;0;0;1707;;;1;0.0;854;;https://www.transfermarkt.ch/dino-peric/profil/spieler/240106;20230422140737
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;4.0;Bosko Sutalo;3000000.0;2022-11-08;3500000.0;2020-02-11;€;23;188.0;Kroatien;rechts;Innenverteidiger;PROSPORTM;;2022-07-01;2027-06-30;0;;;Kroatien U21;19.0;1.0;14.0;10.0;;1.0;4;2.50;1;0;0;2;0;0;0;274;;;0;0.0;274;http://www.instagram.com/bole_topp/;https://www.transfermarkt.ch/bosko-sutalo/profil/spieler/431698;20230422140753
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;39.0;Mauro Perkovic;2500000.0;2022-11-08;2500000.0;2022-11-08;€;20;185.0;Kroatien;links;Innenverteidiger;LSA;;2023-02-16;2023-06-15;0;;Kroatien U21;;2.0;0.0;69.0;70.0;;5.0;5;2.40;0;0;2;0;0;0;0;289;;;1;0.0;;;https://www.transfermarkt.ch/mauro-perkovic/profil/spieler/676266;20230422140808
Kroatien;SuperSport HNL;1.Liga;Dinamo Zagreb;28.0;Kévin Théophile-Catherine;1500000.0;2022-11-08;5000000.0;2013-01-07;€;33;183.0;Martinique;rechts;Innenverteidiger;;;2018-07-06;2023-06-30;0;;;Martinique;0.0;0.0;21.0;21.0;;1.0;6;1.67;0;0;0;0;0;0;0;540;;;1;0.0;;http://www.instagram.com/kevintheophilecofficial/;https://www.transfermarkt.ch/kevin-theophile-catherine/profil/spieler/60603;20230422140827
