LeagueCountry;League;LeagueLevel;Club;No;Name;Value;ValueLastUpdate;HighestValue;HighestValueDate;ValueCurrency;Age;Height;Nationality;Foot;Position;Consultancy;Supplier;ClubSince;ContractUntil;Injury;International;FormerInternational;InternationalGames;InternationalGoals;StartingElevenQuote;MinutesQuote;TwPenaltySavesQuote;FsGoalParticipationQuote;Games;PointsPerGame;Goals;OwnGoals;Ins;Outs;YellowCards;YellowRedCards;RedCards;Minutes;TwGoalsConceded;TwCleanSheets;FsAssists;FsPenaltyGoals;FsMinutesPerGoal;Instagram;Source;ScrapingTime
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;1.0;Danijel Subasic;50000.0;2022-11-08;6000000.0;2015-06-06;€;38;191.0;Kroatien;rechts;Torwart;TTMA;;2021-09-22;2023-05-31;;;Kroatien;44.0;0.0;0.0;0.0;0.0;;0;;0;0;0;0;1;0;0;;0;0;;;;http://www.instagram.com/danijel.subasic/;https://www.transfermarkt.ch/danijel-subasic/profil/spieler/27941;20230422110229
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;25.0;Chidozie Awaziem;5000000.0;2022-11-08;6000000.0;2018-03-20;€;26;189.0;Nigeria;rechts;Innenverteidiger;10Management;;2022-08-02;2023-06-30;;Nigeria;;28.0;1.0;67.0;70.0;;10.0;21;1.81;4;0;3;0;7;0;0;1694;;;1;0;424;http://www.instagram.com/c.awaziem12/;https://www.transfermarkt.ch/chidozie-awaziem/profil/spieler/358143;20230422110248
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;4.0;Ferro;2500000.0;2022-11-11;18000000.0;2019-12-30;€;26;191.0;Portugal;rechts;Innenverteidiger;Wasserman;;2023-02-15;2026-05-31;;;Portugal;0.0;0.0;88.0;83.0;;0.0;7;1.86;0;0;0;2;1;0;0;597;;;0;0;;http://www.instagram.com/fferro_97/;https://www.transfermarkt.ch/ferro/profil/spieler/294321;20230422110304
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;5.0;Toni Borevkovic;2000000.0;2022-11-08;3500000.0;2021-01-28;€;25;193.0;Kroatien;rechts;Innenverteidiger;Marjan Sisic;;2022-07-01;2023-06-15;;;Kroatien U21;3.0;0.0;28.0;26.0;;0.0;9;1.67;0;0;1;0;0;0;1;679;;;0;0;;http://www.instagram.com/toniborevkovic/;https://www.transfermarkt.ch/toni-borevkovic/profil/spieler/396342;20230422110320
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;19.0;Josip Elez;1100000.0;2022-11-08;4000000.0;2018-12-18;€;28;189.0;Kroatien;rechts;Innenverteidiger;Germania Sportagentur GmbH;;2021-07-01;2025-05-31;HüftproblemeRückkehr voraussichtlich am 01.05.2023;;Kroatien U21;2.0;0.0;31.0;31.0;;6.0;11;2.18;0;0;2;2;1;0;0;796;;;3;0;;http://instagram.com/josipelez16;https://www.transfermarkt.ch/josip-elez/profil/spieler/179895;20230422110340
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;8.0;Stefan Simic;500000.0;2022-11-08;1000000.0;2019-12-27;€;28;189.0;Tschechien;rechts;Innenverteidiger;;Nike;2019-07-01;2023-06-30;;;Tschechien;2.0;0.0;38.0;38.0;;0.0;14;1.93;0;0;3;4;2;0;0;985;;;0;0;;;https://www.transfermarkt.ch/stefan-simic/profil/spieler/198613;20230422110355
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;3.0;Dominik Prpic;50000.0;2022-11-08;50000.0;2022-11-08;€;18;188.0;Kroatien;links;Innenverteidiger;IDUB GLOBAL;;2022-07-01;2025-05-31;;Kroatien U19;;5.0;1.0;14.0;14.0;;0.0;5;2.00;0;0;1;0;2;0;0;364;;;0;0;;;https://www.transfermarkt.ch/dominik-prpic/profil/spieler/921533;20230422110412
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;44.0;Luka Vuskovic;;;;;;16;193.0;Kroatien;rechts;Innenverteidiger;;;2023-02-24;2026-01-18;;Kroatien U17;;5.0;1.0;86.0;81.0;;0.0;;;;;;;;;;;;;;;;http://instagram.com/lukavuskovic;https://www.transfermarkt.ch/luka-vuskovic/profil/spieler/892160;20230422110425
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;17.0;Dario Melnjak;2500000.0;2022-11-08;2700000.0;2020-01-03;€;30;180.0;Kroatien;links;Linker Verteidiger;Love Players;;2021-09-23;2024-05-31;;;Kroatien;8.0;0.0;93.0;94.0;;17.0;28;1.82;3;0;1;0;0;0;0;2460;;;6;0;820;http://www.instagram.com/d_melnjak/;https://www.transfermarkt.ch/dario-melnjak/profil/spieler/238500;20230422110450
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;33.0;Elvis Letaj;250000.0;2022-12-15;250000.0;2022-12-15;€;19;177.0;Kosovo;links;Linker Verteidiger;;;2022-07-01;2025-05-31;;Kosovo U21;;0.0;0.0;0.0;3.0;;0.0;1;3.00;0;0;1;0;1;0;0;29;;;0;0;;;https://www.transfermarkt.ch/elvis-letaj/profil/spieler/717882;20230422110509
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;24.0;Dino Mikanovic;1200000.0;2022-11-08;2000000.0;2020-12-11;€;28;174.0;Kroatien;rechts;Rechter Verteidiger;IDUB GLOBAL;;2022-01-28;2024-05-31;;;Kroatien U21;13.0;0.0;48.0;54.0;;4.0;23;2.00;1;0;9;5;7;0;0;1418;;;1;0;1418;http://www.instagram.com/mikanovic2/;https://www.transfermarkt.ch/dino-mikanovic/profil/spieler/229625;20230422110528
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;26.0;Gergő Lovrencsics;250000.0;2022-11-08;1500000.0;2014-07-21;€;34;177.0;Ungarn;rechts;Rechter Verteidiger;Michael R. Nagy Sportmanagemen;adidas;2021-07-05;2023-06-30;;;Ungarn;44.0;1.0;38.0;31.0;;2.0;18;1.83;0;0;7;11;4;0;0;817;;;1;0;;http://www.instagram.com/lovrencsicsgergo_official;https://www.transfermarkt.ch/gerg%C5%91-lovrencsics/profil/spieler/110746;20230422110544
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;;Tvrtko Buljan;50000.0;2022-12-30;100000.0;2022-06-14;€;21;185.0;Kroatien;;Rechter Verteidiger;GreenField;;2021-07-01;2023-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/tvrtko-buljan/profil/spieler/927595;20230422110555
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;14.0;Lukas Grgic;1500000.0;2022-11-08;1500000.0;2022-06-06;€;27;183.0;Österreich;links;Defensives Mittelfeld;Germania Sportagentur GmbH;;2022-01-18;2026-05-31;;;Österreich U20;0.0;0.0;55.0;56.0;;6.0;22;1.50;1;0;6;12;4;0;0;1457;;;2;0;1457;;https://www.transfermarkt.ch/lukas-grgic/profil/spieler/224871;20230422110619
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;6.0;Marco Fossati;1000000.0;2022-11-08;2600000.0;2016-12-19;€;30;180.0;Italien;rechts;Defensives Mittelfeld;Goodjohn Srl;;2021-08-31;2023-05-31;;;Italien U21;5.0;0.0;52.0;47.0;;2.0;21;1.67;0;0;6;10;5;0;0;1216;;;1;0;;http://www.instagram.com/marcoeziofossati/;https://www.transfermarkt.ch/marco-fossati/profil/spieler/110931;20230422110636
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;;Ivan Calusic;350000.0;2022-11-08;350000.0;2022-06-26;€;23;187.0;Kroatien;rechts;Defensives Mittelfeld;Germania Sportagentur GmbH;;2021-07-01;2025-05-31;KnieverletzungRückkehr unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/ivan-calusic/profil/spieler/641060;20230422110651
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;34.0;Marko Capan;;;;;;19;180.0;Kroatien;links;Defensives Mittelfeld;MSports PRO;;2023-01-02;2026-05-31;;Kroatien U19;;3.0;0.0;25.0;17.0;;10.0;4;2.25;0;0;1;3;0;0;0;188;;;2;0;;;https://www.transfermarkt.ch/marko-capan/profil/spieler/921512;20230422110714
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;21.0;Rokas Pukstas;1000000.0;2022-12-30;1000000.0;2022-12-30;€;18;181.0;Vereinigte Staaten;rechts;Zentrales Mittelfeld;Henry Codron;;2022-07-01;2025-01-31;;USA U20;;13.0;1.0;38.0;39.0;;9.0;17;1.88;4;0;6;2;2;0;0;1028;;;1;0;257;;https://www.transfermarkt.ch/rokas-pukstas/profil/spieler/887816;20230422110754
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;23.0;Filip Krovinovic;5000000.0;2022-11-08;7000000.0;2018-02-07;€;27;175.0;Kroatien;rechts;Offensives Mittelfeld;Marjan Sisic;;2021-07-20;2024-05-31;;;Kroatien U21;11.0;1.0;97.0;95.0;;8.0;28;1.93;1;0;0;8;3;0;0;2488;;;3;0;2488;http://www.instagram.com/filipkrovinovic/;https://www.transfermarkt.ch/filip-krovinovic/profil/spieler/261988;20230422110812
Kroatien;SuperSport HNL;1.Liga;Hajduk Split;11.0;Yassine Benrahou;2200000.0;2022-10-28;4000000.0;2020-08-03;€;24;172.0;Marokko;links;Offensives Mittelfeld;2SAgency;;2023-01-26;2026-05-31;;;Marokko U20;0.0;0.0;45.0;58.0;;22.0;11;1.45;1;0;6;2;2;0;0;576;;;3;0;576;http://www.instagram.com/ybenrahou10/;https://www.transfermarkt.ch/yassine-benrahou/profil/spieler/344599;20230422110827
